UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Mt. San Jacinto College,MATH 1A,MATH- 211 (4.00),MATH- 211H (4.00),,,
University of California Berkeley,Mt. San Jacinto College,MATH 1B,MATH- 212 (4.00),MATH- 212H (4.00),,,
University of California Berkeley,Mt. San Jacinto College,MATH 53,MATH- 213 (5.00),MATH- 213H (5.00),,,
University of California Berkeley,Mt. San Jacinto College,MATH 54,MATH- 215 (4.00); MATH- 218 (3.00),MATH- 215H (4.00); MATH- 218 (3.00),,,
University of California Berkeley,Mt. San Jacinto College,PHYSICS 7A,PHY- 201 (4.00),,,,
University of California Berkeley,Mt. San Jacinto College,PHYSICS 7B,PHY- 202 (4.00),PHY- 202H (4.00),,,
University of California Berkeley,Mt. San Jacinto College,ENGLISH R1A,ENGL- 101 (3.00),ENGL- 101H (3.00),,,
University of California Berkeley,Mt. San Jacinto College,ENGLISH R1B,ENGL- 103 (3.00),ENGL- 103H (3.00),,,
University of California Berkeley,Mt. San Jacinto College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL- 150 (4.00); BIOL- 151 (4.00),BIOL- 150H (4.00); BIOL- 151H (4.00),,,
University of California Berkeley,Mt. San Jacinto College,CHEM 1A; CHEM 1AL,CHEM- 101 (5.00),,,,
University of California Berkeley,Mt. San Jacinto College,CHEM 1B,CHEM- 102 (5.00),,,,
University of California Berkeley,Mt. San Jacinto College,CHEM 3A; CHEM 3AL,CHEM- 112 (5.00),,,,
University of California Berkeley,Mt. San Jacinto College,CHEM 3B; CHEM 3BL,CHEM- 113 (5.00),,,,
University of California Berkeley,Mt. San Jacinto College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,PHYSICS 7C,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,COMPSCI 61B,CSIS- 211 (3.00),,,,
University of California Berkeley,Mt. San Jacinto College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Mt. San Jacinto College,EECS 16B,Not Articulated,,,,
University of California Davis,Mt. San Jacinto College,ECS 020,CSIS- 213 (3.00),,,,
University of California Davis,Mt. San Jacinto College,ECS 036A,CSIS- 113A (3.00),CSIS- 113B (3.00),,,
University of California Davis,Mt. San Jacinto College,ECS 036B,CSIS- 123A (3.00),CSIS- 123B (3.00),,,
University of California Davis,Mt. San Jacinto College,ECS 036C,CSIS- 211 (3.00),,,,
University of California Davis,Mt. San Jacinto College,ECS 050,CSIS- 118B (3.00),,,,
University of California Davis,Mt. San Jacinto College,MAT 021A,MATH- 211 (4.00),,,,
University of California Davis,Mt. San Jacinto College,MAT 021B,MATH- 212 (4.00),MATH- 212H (4.00),,,
University of California Davis,Mt. San Jacinto College,MAT 021C,MATH- 213 (5.00),MATH- 213H (5.00),,,
University of California Davis,Mt. San Jacinto College,MAT 022A,MATH- 218 (3.00),,,,
University of California Davis,Mt. San Jacinto College,MAT 027A,Not Articulated,,,,
