UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Napa Valley College,MATH 1A,MATH 120 (5.00),,
University of California Berkeley,Napa Valley College,MATH 1B,MATH 121 (5.00),,
University of California Berkeley,Napa Valley College,MATH 53,MATH 221 (5.00),,
University of California Berkeley,Napa Valley College,MATH 54,MATH 220 (3.00); MATH 222 (3.00),,
University of California Berkeley,Napa Valley College,PHYSICS 7A,PHYS 140 (4.00),,
University of California Berkeley,Napa Valley College,PHYSICS 7B,PHYS 240 (4.00),,
University of California Berkeley,Napa Valley College,ENGLISH R1A,ENGL 120 (4.00),,
University of California Berkeley,Napa Valley College,ENGLISH R1B,ENGL 121 (3.00),ENGL 125 (3.00),
University of California Berkeley,Napa Valley College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Napa Valley College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Napa Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 120 (4.00); BIOL 240 (5.00),,
University of California Berkeley,Napa Valley College,BIOLOGY 1B,BIOL 120 (4.00); BIOL 241 (5.00),,
University of California Berkeley,Napa Valley College,CHEM 1A; CHEM 1AL,CHEM 120 (5.00),,
University of California Berkeley,Napa Valley College,CHEM 1B,CHEM 121 (5.00),,
University of California Berkeley,Napa Valley College,CHEM 3A; CHEM 3AL,CHEM 240 (5.00),,
University of California Berkeley,Napa Valley College,CHEM 3B; CHEM 3BL,CHEM 241 (5.00),,
University of California Berkeley,Napa Valley College,MCELLBI 32; MCELLBI 32L,BIOL 219 (5.00),,
University of California Berkeley,Napa Valley College,PHYSICS 7C,PHYS 241 (4.00),,
University of California Berkeley,Napa Valley College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Napa Valley College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Napa Valley College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Napa Valley College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Napa Valley College,EECS 16A,Not Articulated,,
University of California Berkeley,Napa Valley College,EECS 16B,Not Articulated,,
University of California Davis,Napa Valley College,ECS 020,Not Articulated,,
University of California Davis,Napa Valley College,ECS 036A,COMS 215 (3.00),,
University of California Davis,Napa Valley College,ECS 036B,COMS 216 (3.00),,
University of California Davis,Napa Valley College,ECS 036C,Not Articulated,,
University of California Davis,Napa Valley College,ECS 050,Not Articulated,,
University of California Davis,Napa Valley College,MAT 021A,MATH 120 (5.00),,
University of California Davis,Napa Valley College,MAT 021B,MATH 121 (5.00),,
University of California Davis,Napa Valley College,MAT 021C,MATH 221 (5.00),,
University of California Davis,Napa Valley College,MAT 022A,MATH 220 (3.00),,
University of California Davis,Napa Valley College,MAT 027A,Not Articulated,,
University of California Davis,Napa Valley College,MAT 067,Not Articulated,,
University of California Davis,Napa Valley College,BIS 002A,BIOL 120 (4.00),,
University of California Davis,Napa Valley College,BIS 002B,BIOL 240 (5.00); BIOL 241 (5.00),,
University of California Davis,Napa Valley College,BIS 002C,BIOL 240 (5.00); BIOL 241 (5.00),,
University of California Davis,Napa Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 120 (5.00); CHEM 121 (5.00),,
University of California Davis,Napa Valley College,CHE 004A,Not Articulated,,
University of California Davis,Napa Valley College,CHE 004B,Not Articulated,,
University of California Davis,Napa Valley College,CHE 004C,Not Articulated,,
University of California Davis,Napa Valley College,PHY 009A,PHYS 140 (4.00); PHYS 240 (4.00); PHYS 241 (4.00),,
University of California Davis,Napa Valley College,PHY 009B,PHYS 140 (4.00); PHYS 240 (4.00); PHYS 241 (4.00),,
University of California Davis,Napa Valley College,PHY 009C,PHYS 140 (4.00); PHYS 240 (4.00); PHYS 241 (4.00),,
University of California Irvine,Napa Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Napa Valley College,MATH 2A,MATH 120 (5.00),,
University of California Irvine,Napa Valley College,MATH 2B,MATH 121 (5.00),,
University of California Irvine,Napa Valley College,MATH 3A,MATH 220 (3.00),,
University of California Irvine,Napa Valley College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 6D,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 45C,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 46,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 51,Not Articulated,,
University of California Irvine,Napa Valley College,I&C SCI 53,Not Articulated,,
University of California Irvine,Napa Valley College,IN4MATX 43,Not Articulated,,
University of California Irvine,Napa Valley College,STATS 67,Not Articulated,,
University of California Los Angeles,Napa Valley College,COM SCI 31,Not Articulated,,
University of California Los Angeles,Napa Valley College,COM SCI 32,Not Articulated,,
University of California Los Angeles,Napa Valley College,COM SCI 33,Not Articulated,,
University of California Los Angeles,Napa Valley College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Napa Valley College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Napa Valley College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Napa Valley College,MATH 31A,MATH 120 (5.00),,
University of California Los Angeles,Napa Valley College,MATH 31B,MATH 121 (5.00),,
University of California Los Angeles,Napa Valley College,MATH 32A,MATH 221 (5.00),,
University of California Los Angeles,Napa Valley College,MATH 32B,MATH 221 (5.00),,
University of California Los Angeles,Napa Valley College,MATH 33A,MATH 220 (3.00),,
University of California Los Angeles,Napa Valley College,MATH 33B,MATH 222 (3.00),,
University of California Los Angeles,Napa Valley College,MATH 61,Not Articulated,,
University of California Los Angeles,Napa Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 140 (4.00); PHYS 240 (4.00); PHYS 241 (4.00),,
University of California Los Angeles,Napa Valley College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Napa Valley College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Napa Valley College,ENGCOMP 3,ENGL 120 (4.00),,
University of California Los Angeles,Napa Valley College,,ENGL 121 (3.00),ENGL 123 (4.00),ENGL 125 (3.00)
University of California Los Angeles,Napa Valley College,,Not Articulated,,
University of California Merced,Napa Valley College,CSE 022,COMS 120 (3.00),COMS 215 (3.00),
University of California Merced,Napa Valley College,CSE 030,COMS 216 (3.00),,
University of California Merced,Napa Valley College,MATH 021,MATH 120 (5.00),,
University of California Merced,Napa Valley College,MATH 022,MATH 121 (5.00),,
University of California Merced,Napa Valley College,MATH 023,MATH 221 (5.00),,
University of California Merced,Napa Valley College,MATH 024,MATH 220 (3.00); MATH 222 (3.00),,
University of California Merced,Napa Valley College,PHYS 008; PHYS 008L,PHYS 140 (4.00),,
University of California Merced,Napa Valley College,PHYS 009; PHYS 009L,PHYS 240 (4.00),,
University of California Merced,Napa Valley College,CSE 015,COMS 218 (3.00),,
University of California Merced,Napa Valley College,CSE 022,COMS 120 (3.00),COMS 215 (3.00),
University of California Merced,Napa Valley College,CSE 024,Not Articulated,,
