UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Ohlone College,MATH 1A,MATH 101A (5.00),,
University of California Berkeley,Ohlone College,MATH 1B,MATH 101B (5.00),,
University of California Berkeley,Ohlone College,MATH 53,MATH 101C (5.00),,
University of California Berkeley,Ohlone College,MATH 54,MATH 103 (3.00); MATH 104 (5.00),,
University of California Berkeley,Ohlone College,PHYSICS 7A,PHYS 140 (4.00),,
University of California Berkeley,Ohlone College,PHYSICS 7B,PHYS 141 (4.00),,
University of California Berkeley,Ohlone College,ENGLISH R1A,ENGL 101A (4.00),,
University of California Berkeley,Ohlone College,ENGLISH R1B,ENGL 101B (4.00),,
University of California Berkeley,Ohlone College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Ohlone College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Ohlone College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California Berkeley,Ohlone College,CHEM 1A; CHEM 1AL,CHEM 101A (5.00),,
University of California Berkeley,Ohlone College,CHEM 1B,CHEM 101B (5.00),,
University of California Berkeley,Ohlone College,CHEM 3A; CHEM 3AL,CHEM 112A (5.00),,
University of California Berkeley,Ohlone College,CHEM 3B; CHEM 3BL,CHEM 112B (5.00),,
University of California Berkeley,Ohlone College,MCELLBI 32; MCELLBI 32L,NUR 330 (3.00),,
University of California Berkeley,Ohlone College,PHYSICS 7C,PHYS 142 (4.00),,
University of California Berkeley,Ohlone College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Ohlone College,COMPSCI 61B,CS 124 (3.00); CS 116 (4.00),,
University of California Berkeley,Ohlone College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Ohlone College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Ohlone College,EECS 16A,Not Articulated,,
University of California Berkeley,Ohlone College,EECS 16B,Not Articulated,,
University of California Davis,Ohlone College,ECS 020,CS 113 (3.00),,
University of California Davis,Ohlone College,ECS 036A,CS 102 (3.00),,
University of California Davis,Ohlone College,ECS 036B,CS 116 (4.00),CS 170 (4.00),
University of California Davis,Ohlone College,ECS 036C,CS 124 (3.00),,
University of California Davis,Ohlone College,ECS 050,CS 118 (3.00),,
University of California Davis,Ohlone College,MAT 021A,MATH 101A (5.00),,
University of California Davis,Ohlone College,MAT 021B,MATH 101B (5.00),,
University of California Davis,Ohlone College,MAT 021C,MATH 101C (5.00),,
University of California Davis,Ohlone College,MAT 022A,MATH 103 (3.00),,
University of California Davis,Ohlone College,MAT 027A,Not Articulated,,
University of California Davis,Ohlone College,MAT 067,Not Articulated,,
University of California Davis,Ohlone College,BIS 002A; BIS 002B; BIS 002C,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California Davis,Ohlone College,CHE 002A; CHE 002B; CHE 002C,CHEM 101A (5.00); CHEM 101B (5.00),,
University of California Davis,Ohlone College,CHE 004A,Not Articulated,,
University of California Davis,Ohlone College,CHE 004B,Not Articulated,,
University of California Davis,Ohlone College,CHE 004C,Not Articulated,,
University of California Davis,Ohlone College,PHY 009A,PHYS 140 (4.00); PHYS 142 (4.00),,
University of California Davis,Ohlone College,PHY 009B,PHYS 140 (4.00); PHYS 142 (4.00),,
University of California Davis,Ohlone College,PHY 009C,PHYS 141 (4.00),,
University of California Irvine,Ohlone College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
University of California Irvine,Ohlone College,MATH 2A,MATH 101A (5.00),,
University of California Irvine,Ohlone College,MATH 2B,MATH 101B (5.00),,
University of California Irvine,Ohlone College,MATH 3A,MATH 103 (3.00),,
University of California Irvine,Ohlone College,I&C SCI 6N,Not Articulated,,
University of California Irvine,Ohlone College,I&C SCI 6B,Not Articulated,,
University of California Irvine,Ohlone College,I&C SCI 6D,CS 113 (3.00),,
University of California Irvine,Ohlone College,I&C SCI 45C,CS 102 (3.00); CS 116 (4.00),,
University of California Irvine,Ohlone College,I&C SCI 46,Not Articulated,,
University of California Irvine,Ohlone College,I&C SCI 51,Not Articulated,,
University of California Irvine,Ohlone College,I&C SCI 53,Not Articulated,,
University of California Irvine,Ohlone College,IN4MATX 43,Not Articulated,,
University of California Irvine,Ohlone College,STATS 67,Not Articulated,,
University of California Los Angeles,Ohlone College,COM SCI 31,CS 102 (3.00),CS 116 (4.00),
University of California Los Angeles,Ohlone College,COM SCI 32,CS 124 (3.00),,
University of California Los Angeles,Ohlone College,COM SCI 33,CS 118 (3.00),,
University of California Los Angeles,Ohlone College,COM SCI 35L,Not Articulated,,
University of California Los Angeles,Ohlone College,COM SCI M51A,Not Articulated,,
University of California Los Angeles,Ohlone College,EC ENGR M16,Not Articulated,,
University of California Los Angeles,Ohlone College,MATH 31A,MATH 101A (5.00),,
University of California Los Angeles,Ohlone College,MATH 31B,MATH 101B (5.00),,
University of California Los Angeles,Ohlone College,MATH 32A,MATH 101C (5.00),,
University of California Los Angeles,Ohlone College,MATH 32B,MATH 101C (5.00),,
University of California Los Angeles,Ohlone College,MATH 33A,MATH 103 (3.00),,
University of California Los Angeles,Ohlone College,MATH 33B,MATH 104 (5.00),,
University of California Los Angeles,Ohlone College,MATH 61,CS 113 (3.00),,
University of California Los Angeles,Ohlone College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 140 (4.00); PHYS 141 (4.00); PHYS 142 (4.00),,
University of California Los Angeles,Ohlone College,PHYSICS 4AL,Not Articulated,,
University of California Los Angeles,Ohlone College,PHYSICS 4BL,Not Articulated,,
University of California Los Angeles,Ohlone College,ENGCOMP 3,ENGL 101A (4.00),,
University of California Los Angeles,Ohlone College,,ENGL 101B (4.00),ENGL 101C (3.00),
University of California Los Angeles,Ohlone College,,CS 116 (4.00),,
University of California Merced,Ohlone College,CSE 022,CS 102 (3.00),CS 125 (4.00),CS 142 (4.00)
University of California Merced,Ohlone College,CSE 030,CS 124 (3.00),,
University of California Merced,Ohlone College,MATH 021,MATH 101A (5.00),,
University of California Merced,Ohlone College,MATH 022,MATH 101B (5.00),,
University of California Merced,Ohlone College,MATH 023,MATH 101C (5.00),,
University of California Merced,Ohlone College,MATH 024,MATH 103 (3.00); MATH 104 (5.00),,
University of California Merced,Ohlone College,PHYS 008; PHYS 008L,PHYS 140 (4.00),,
University of California Merced,Ohlone College,PHYS 009; PHYS 009L,PHYS 141 (4.00),,
University of California Merced,Ohlone College,CSE 015,CS 113 (3.00),,
University of California Merced,Ohlone College,CSE 022,CS 102 (3.00),CS 125 (4.00),CS 142 (4.00)
University of California Merced,Ohlone College,CSE 024,CS 116 (4.00),,
University of California Merced,Ohlone College,CSE 030,CS 124 (3.00),,
University of California Merced,Ohlone College,CSE 031,CS 118 (3.00),,
University of California Merced,Ohlone College,ENGR 065,ENGI 130 (4.00),,
University of California Merced,Ohlone College,ENGR 091,Not Articulated,,
University of California Merced,Ohlone College,MATH 032,Not Articulated,,
University of California Merced,Ohlone College,ENGR 080,Not Articulated,,
University of California Merced,Ohlone College,WRI 001,ENGL 101A (4.00),,
University of California Merced,Ohlone College,WRI 010,ENGL 101B (4.00),ENGL 101C (3.00),
University of California Riverside,Ohlone College,CS 10A,CS 102 (3.00),,
University of California Riverside,Ohlone College,CS 10B,CS 116 (4.00),CS 170 (4.00),
University of California Riverside,Ohlone College,MATH 9A; MATH 9B; MATH 9C,MATH 101A (5.00); MATH 101B (5.00),,
University of California Riverside,Ohlone College,PHYS 40A,PHYS 140 (4.00),,
University of California Riverside,Ohlone College,CS 11,CS 113 (3.00),,
University of California Riverside,Ohlone College,CS 10C,CS 124 (3.00),,
University of California Riverside,Ohlone College,CS 61,CS 118 (3.00),,
University of California Riverside,Ohlone College,MATH 10A,MATH 101C (5.00),,
University of California Riverside,Ohlone College,PHYS 40B,PHYS 140 (4.00); PHYS 142 (4.00),,
University of California Riverside,Ohlone College,PHYS 40C,PHYS 141 (4.00),,
University of California Riverside,Ohlone College,EE 20B,Not Articulated,,
University of California Riverside,Ohlone College,MATH 31,MATH 103 (3.00),,
University of California San Diego,Ohlone College,CSE 8A,CS 125 (4.00),,
University of California San Diego,Ohlone College,CSE 8B,Not Articulated,,
University of California San Diego,Ohlone College,CSE 11,CS 170 (4.00),,
University of California San Diego,Ohlone College,CSE 12,CS 124 (3.00),,
University of California San Diego,Ohlone College,CSE 15L,Not Articulated,,
University of California San Diego,Ohlone College,CSE 20,CS 113 (3.00),,
University of California San Diego,Ohlone College,CSE 21,Not Articulated,,
University of California San Diego,Ohlone College,CSE 30,CS 118 (3.00),,
University of California San Diego,Ohlone College,MATH 18,MATH 103 (3.00),,
University of California San Diego,Ohlone College,MATH 20A,MATH 101A (5.00),,
University of California San Diego,Ohlone College,MATH 20B,MATH 101B (5.00),,
University of California San Diego,Ohlone College,MATH 20C,MATH 101C (5.00),,
University of California San Diego,Ohlone College,BILD 1,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California San Diego,Ohlone College,BILD 2,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California San Diego,Ohlone College,BILD 3,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California San Diego,Ohlone College,CHEM 6A,CHEM 101A (5.00),,
University of California San Diego,Ohlone College,CHEM 6B,CHEM 101A (5.00); CHEM 101B (5.00),,
University of California San Diego,Ohlone College,PHYS 2A,PHYS 140 (4.00),,
University of California San Diego,Ohlone College,PHYS 2B,PHYS 141 (4.00),,
University of California San Diego,Ohlone College,PHYS 4A,Not Articulated,,
University of California San Diego,Ohlone College,PHYS 4B,Not Articulated,,
University of California Santa Barbara,Ohlone College,MATH 3A,MATH 101A (5.00),,
University of California Santa Barbara,Ohlone College,MATH 3B,MATH 101B (5.00),,
University of California Santa Barbara,Ohlone College,MATH 4A,MATH 103 (3.00),,
University of California Santa Barbara,Ohlone College,MATH 4B,MATH 104 (5.00),,
University of California Santa Barbara,Ohlone College,CMPSC 16,CS 102 (3.00),,
University of California Santa Barbara,Ohlone College,CMPSC 24,CS 124 (3.00),,
University of California Santa Barbara,Ohlone College,CMPSC 40,CS 113 (3.00),,
University of California Santa Barbara,Ohlone College,CMPSC 32,CS 116 (4.00),,
University of California Santa Barbara,Ohlone College,CMPSC 64,CS 118 (3.00),,
University of California Santa Barbara,Ohlone College,MATH 6A,MATH 101C (5.00),,
University of California Santa Barbara,Ohlone College,PHYS 1,PHYS 140 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 2,PHYS 140 (4.00); PHYS 141 (4.00); PHYS 142 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 3; PHYS 3L,PHYS 140 (4.00); PHYS 141 (4.00); PHYS 142 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 120 (4.00); PHYS 121 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 7A,PHYS 140 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 7B,PHYS 140 (4.00); PHYS 141 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 7C,PHYS 141 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 7D,PHYS 142 (4.00),,
University of California Santa Barbara,Ohlone College,PHYS 7L,PHYS 140 (4.00); PHYS 141 (4.00),,
University of California Santa Barbara,Ohlone College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 101A (5.00); CHEM 101B (5.00),,
University of California Santa Barbara,Ohlone College,MCDB 1A; MCDB 1LL,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California Santa Barbara,Ohlone College,MCDB 1B,BIOL 101A (5.00); BIOL 101B (5.00),,
University of California Santa Barbara,Ohlone College,PSTAT 120A,Not Articulated,,
University of California Santa Cruz,Ohlone College,CSE 12,CS 118 (3.00),,
University of California Santa Cruz,Ohlone College,CSE 16,CS 113 (3.00),,
University of California Santa Cruz,Ohlone College,CSE 30,CS 124 (3.00),,
University of California Santa Cruz,Ohlone College,MATH 19A,MATH 101A (5.00),,
University of California Santa Cruz,Ohlone College,MATH 19B,MATH 101B (5.00),,
University of California Santa Cruz,Ohlone College,AM 10,MATH 103 (3.00),,
University of California Santa Cruz,Ohlone College,MATH 21,MATH 103 (3.00),,
University of California Santa Cruz,Ohlone College,AM 30,MATH 101C (5.00),,
University of California Santa Cruz,Ohlone College,MATH 23A,MATH 101C (5.00),,
