UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Orange Coast College,MATH 1A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),,,
University of California Berkeley,Orange Coast College,MATH 1B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),,,
University of California Berkeley,Orange Coast College,MATH 53,MATH A280 (4.00),MATH A280H (5.00),,,,
University of California Berkeley,Orange Coast College,MATH 54,MATH A285 (4.00),MATH A285H (5.00),,,,
University of California Berkeley,Orange Coast College,PHYSICS 7A,PHYS A185 (4.00),,,,,
University of California Berkeley,Orange Coast College,PHYSICS 7B,PHYS A280 (4.00),,,,,
University of California Berkeley,Orange Coast College,ENGLISH R1A,ENGL A100 (3.00),ESL A100 (3.00),,,,
University of California Berkeley,Orange Coast College,ENGLISH R1B,ENGL A101 (4.00),ENGL A101H (4.00),ENGL A102 (3.00),ENGL A102H (3.00),ENGL A109 (3.00),
University of California Berkeley,Orange Coast College,ASTRON 7A,ASTR A103 (3.00),,,,,
University of California Berkeley,Orange Coast College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Orange Coast College,BIOLOGY 1A; BIOLOGY 1AL,BIOL A180 (4.00); BIOL A185 (5.00),,,,,
University of California Berkeley,Orange Coast College,BIOLOGY 1B,BIOL A183 (3.00); BIOL A183L (1.00); BIOL A185 (5.00),,,,,
University of California Berkeley,Orange Coast College,CHEM 1A; CHEM 1AL,CHEM A180 (5.00),,,,,
University of California Berkeley,Orange Coast College,CHEM 1B,CHEM A185 (5.00),,,,,
University of California Berkeley,Orange Coast College,CHEM 3A; CHEM 3AL,CHEM A220 (3.00); CHEM A220L (2.00),,,,,
University of California Berkeley,Orange Coast College,CHEM 3B; CHEM 3BL,CHEM A225 (3.00); CHEM A225L (2.00),,,,,
University of California Berkeley,Orange Coast College,MCELLBI 32; MCELLBI 32L,BIOL A225 (5.00),,,,,
University of California Berkeley,Orange Coast College,PHYSICS 7C,PHYS A285 (4.00),,,,,
University of California Berkeley,Orange Coast College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Orange Coast College,COMPSCI 61B,CS A200 (4.00); CS A250 (4.00),,,,,
University of California Berkeley,Orange Coast College,COMPSCI 61C,CS A216 (4.00),,,,,
University of California Berkeley,Orange Coast College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Orange Coast College,EECS 16A,MATH A285 (4.00); ENGR A285 (4.00),MATH A285H (5.00); ENGR A285 (4.00),,,,
University of California Berkeley,Orange Coast College,EECS 16B,Not Articulated,,,,,
University of California Davis,Orange Coast College,ECS 020,MATH A230 (5.00),,,,,
University of California Davis,Orange Coast College,ECS 036A,CS A131 (4.00),CS A140 (4.00),CS A150 (4.00),CS A170 (4.00),,
University of California Davis,Orange Coast College,ECS 036B,CS A250 (4.00),,,,,
University of California Davis,Orange Coast College,ECS 036C,CS A200 (4.00),,,,,
University of California Davis,Orange Coast College,ECS 050,CS A216 (4.00),,,,,
University of California Davis,Orange Coast College,MAT 021A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),,,
University of California Davis,Orange Coast College,MAT 021B,MATH A182H (5.00),MATH A185 (4.00),MATH A185H (4.00),,,
University of California Davis,Orange Coast College,MAT 021C,MATH A280 (4.00),MATH A280H (5.00),,,,
University of California Davis,Orange Coast College,MAT 022A,MATH A235 (3.00),MATH A285 (4.00),MATH A285H (5.00),,,
University of California Davis,Orange Coast College,MAT 027A,Not Articulated,,,,,
University of California Davis,Orange Coast College,MAT 067,Not Articulated,,,,,
University of California Davis,Orange Coast College,BIS 002A,BIOL A180 (4.00),,,,,
University of California Davis,Orange Coast College,BIS 002B,BIOL A280 (4.00),,,,,
University of California Davis,Orange Coast College,BIS 002C,BIOL A185 (5.00),,,,,
University of California Davis,Orange Coast College,CHE 002A; CHE 002B; CHE 002C,CHEM A180 (5.00); CHEM A185 (5.00),,,,,
University of California Davis,Orange Coast College,CHE 004A,Not Articulated,,,,,
University of California Davis,Orange Coast College,CHE 004B,Not Articulated,,,,,
University of California Davis,Orange Coast College,CHE 004C,Not Articulated,,,,,
University of California Davis,Orange Coast College,PHY 009A,PHYS A185 (4.00); PHYS A280 (4.00); PHYS A285 (4.00),,,,,
University of California Davis,Orange Coast College,PHY 009B,PHYS A185 (4.00); PHYS A280 (4.00); PHYS A285 (4.00),,,,,
University of California Davis,Orange Coast College,PHY 009C,PHYS A185 (4.00); PHYS A280 (4.00); PHYS A285 (4.00),,,,,
University of California Irvine,Orange Coast College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS A150 (4.00); CS A250 (4.00),,,,,
University of California Irvine,Orange Coast College,I&C SCI 31; I&C SCI 32,CS A131 (4.00); CS A231 (4.00),,,,,
University of California Irvine,Orange Coast College,MATH 2A,MATH A180 (4.00),MATH A180H (4.00),MATH A182H (5.00),,,
