UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Oxnard College,MATH 1A,MATH R120 (5.00),,,
University of California Berkeley,Oxnard College,MATH 1B,MATH R121 (5.00),,,
University of California Berkeley,Oxnard College,MATH 53,MATH R122 (5.00),,,
University of California Berkeley,Oxnard College,MATH 54,MATH R134 (3.00); MATH R143 (3.00),,,
University of California Berkeley,Oxnard College,PHYSICS 7A,PHYS R131 (5.00),,,
University of California Berkeley,Oxnard College,PHYSICS 7B,PHYS R132 (5.00),,,
University of California Berkeley,Oxnard College,ENGLISH R1A,ENGL R101 (4.00),,,
University of California Berkeley,Oxnard College,ENGLISH R1B,ENGL R102 (4.00),,,
University of California Berkeley,Oxnard College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Oxnard College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Oxnard College,BIOLOGY 1A; BIOLOGY 1AL,BIOL R122 (4.00); BIOL R122L (1.00),,,
University of California Berkeley,Oxnard College,BIOLOGY 1B,BIOL R120 (4.00); BIOL R120L (1.00),,,
University of California Berkeley,Oxnard College,CHEM 1A; CHEM 1AL,CHEM R120 (5.00),,,
University of California Berkeley,Oxnard College,CHEM 1B,CHEM R122 (5.00),,,
University of California Berkeley,Oxnard College,CHEM 3A; CHEM 3AL,CHEM R130 (5.00),,,
University of California Berkeley,Oxnard College,CHEM 3B; CHEM 3BL,CHEM R132 (5.00),,,
University of California Berkeley,Oxnard College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,
University of California Berkeley,Oxnard College,PHYSICS 7C,PHYS R133 (5.00),,,
University of California Berkeley,Oxnard College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Oxnard College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Oxnard College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Oxnard College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Oxnard College,EECS 16A,Not Articulated,,,
University of California Berkeley,Oxnard College,EECS 16B,Not Articulated,,,
University of California Davis,Oxnard College,ECS 020,Not Articulated,,,
University of California Davis,Oxnard College,ECS 036A,Not Articulated,,,
University of California Davis,Oxnard College,ECS 036B,Not Articulated,,,
University of California Davis,Oxnard College,ECS 036C,Not Articulated,,,
University of California Davis,Oxnard College,ECS 050,Not Articulated,,,
University of California Davis,Oxnard College,MAT 021A,MATH R120 (5.00),,,
University of California Davis,Oxnard College,MAT 021B,MATH R121 (5.00),,,
