UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Palo Verde College,MATH 1A,Not Articulated,
University of California Berkeley,Palo Verde College,MATH 1B,Not Articulated,
University of California Berkeley,Palo Verde College,MATH 53,Not Articulated,
University of California Berkeley,Palo Verde College,MATH 54,Not Articulated,
University of California Berkeley,Palo Verde College,PHYSICS 7A,Not Articulated,
University of California Berkeley,Palo Verde College,PHYSICS 7B,Not Articulated,
University of California Berkeley,Palo Verde College,ENGLISH R1A,ENG 100 (4.00); ENG 102 (3.00),
University of California Berkeley,Palo Verde College,ENGLISH R1B,ENG 102 (3.00); ENG 103 (3.00),
University of California Berkeley,Palo Verde College,ASTRON 7A,Not Articulated,
University of California Berkeley,Palo Verde College,ASTRON 7B,Not Articulated,
University of California Berkeley,Palo Verde College,BIOLOGY 1A; BIOLOGY 1AL,Not Articulated,
University of California Berkeley,Palo Verde College,BIOLOGY 1B,Not Articulated,
University of California Berkeley,Palo Verde College,CHEM 1A; CHEM 1AL,Not Articulated,
University of California Berkeley,Palo Verde College,CHEM 1B,Not Articulated,
University of California Berkeley,Palo Verde College,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,Palo Verde College,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,Palo Verde College,MCELLBI 32; MCELLBI 32L,Not Articulated,
University of California Berkeley,Palo Verde College,PHYSICS 7C,Not Articulated,
University of California Berkeley,Palo Verde College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Palo Verde College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Palo Verde College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Palo Verde College,COMPSCI 70,Not Articulated,
University of California Berkeley,Palo Verde College,EECS 16A,Not Articulated,
University of California Berkeley,Palo Verde College,EECS 16B,Not Articulated,
University of California Davis,Palo Verde College,ECS 020,Not Articulated,
University of California Davis,Palo Verde College,ECS 036A,Not Articulated,
University of California Davis,Palo Verde College,ECS 036B,Not Articulated,
University of California Davis,Palo Verde College,ECS 036C,Not Articulated,
University of California Davis,Palo Verde College,ECS 050,Not Articulated,
University of California Davis,Palo Verde College,MAT 021A,Not Articulated,
University of California Davis,Palo Verde College,MAT 021B,Not Articulated,
University of California Davis,Palo Verde College,MAT 021C,Not Articulated,
University of California Davis,Palo Verde College,MAT 022A,Not Articulated,
University of California Davis,Palo Verde College,MAT 027A,Not Articulated,
University of California Davis,Palo Verde College,MAT 067,Not Articulated,
University of California Davis,Palo Verde College,BIS 002A; BIS 002B; BIS 002C,BIO 190 (5.00); BIO 191 (5.00),
University of California Davis,Palo Verde College,CHE 002A,Not Articulated,
University of California Davis,Palo Verde College,CHE 002B,Not Articulated,
University of California Davis,Palo Verde College,CHE 002C,Not Articulated,
University of California Davis,Palo Verde College,CHE 004A,Not Articulated,
University of California Davis,Palo Verde College,CHE 004B,Not Articulated,
University of California Davis,Palo Verde College,CHE 004C,Not Articulated,
University of California Davis,Palo Verde College,PHY 009A,Not Articulated,
University of California Davis,Palo Verde College,PHY 009B,Not Articulated,
University of California Davis,Palo Verde College,PHY 009C,Not Articulated,
University of California Irvine,Palo Verde College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Palo Verde College,MATH 2A,Not Articulated,
