UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Palomar College,MATH 1A,MATH 140 (5.00),MATH 140E (5.00),
University of California Berkeley,Palomar College,MATH 1B,MATH 141E (4.00); MATH 206 (4.00),MATH 141 (4.00),
University of California Berkeley,Palomar College,MATH 53,MATH 205 (4.00),,
University of California Berkeley,Palomar College,MATH 54,MATH 200 (3.00); MATH 206 (4.00),,
University of California Berkeley,Palomar College,PHYSICS 7A,PHYS 230 (5.00),,
University of California Berkeley,Palomar College,PHYSICS 7B,PHYS 231 (5.00),,
University of California Berkeley,Palomar College,ENGLISH R1A,ENG 100 (4.00),,
University of California Berkeley,Palomar College,ENGLISH R1B,ENG 202 (4.00),ENG 203 (4.00),
University of California Berkeley,Palomar College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Palomar College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Palomar College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 201 (5.00),,
University of California Berkeley,Palomar College,BIOLOGY 1B,BIOL 200 (5.00),,
University of California Berkeley,Palomar College,CHEM 1A; CHEM 1AL,CHEM 110 (3.00); CHEM 110L (2.00),,
University of California Berkeley,Palomar College,CHEM 1B,CHEM 115 (3.00); CHEM 115L (2.00),,
University of California Berkeley,Palomar College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 220 (5.00); CHEM 221 (5.00),,
University of California Berkeley,Palomar College,MCELLBI 32; MCELLBI 32L,BIOL 211 (4.00),,
University of California Berkeley,Palomar College,PHYSICS 7C,PHYS 232 (4.00),,
University of California Berkeley,Palomar College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Palomar College,COMPSCI 61B,CSCI 210 (4.00); CSCI 222 (4.00),,
University of California Berkeley,Palomar College,COMPSCI 61C,CSCI 212 (4.00),,
University of California Berkeley,Palomar College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Palomar College,EECS 16A,MATH 200 (3.00); MATH 206 (4.00); ENGR 210 (3.00); ENGR 210L (1.00),,
University of California Berkeley,Palomar College,EECS 16B,Not Articulated,,
University of California Davis,Palomar College,ECS 020,MATH 245 (3.00),,
University of California Davis,Palomar College,ECS 036A,CSCI 112 (4.00),CSCI 114 (4.00),
University of California Davis,Palomar College,ECS 036B,CSCI 222 (4.00),,
University of California Davis,Palomar College,ECS 036C,CSCI 210 (4.00),,
University of California Davis,Palomar College,ECS 050,CSCI 212 (4.00),,
University of California Davis,Palomar College,MAT 021A,MATH 140 (5.00),MATH 140E (5.00),
University of California Davis,Palomar College,MAT 021B,MATH 141 (4.00),MATH 141E (4.00),
University of California Davis,Palomar College,MAT 021C; MAT 021D,MATH 205 (4.00),,
University of California Davis,Palomar College,MAT 022A,MATH 200 (3.00),,
University of California Davis,Palomar College,MAT 027A,Not Articulated,,
University of California Davis,Palomar College,MAT 067,Not Articulated,,
University of California Davis,Palomar College,BIS 002A; BIS 002B; BIS 002C,BIOL 200 (5.00); BIOL 201 (5.00),,
University of California Davis,Palomar College,CHE 002A; CHE 002B; CHE 002C,CHEM 110 (3.00); CHEM 110L (2.00); CHEM 115 (3.00); CHEM 115L (2.00),,
University of California Davis,Palomar College,CHE 004A,Not Articulated,,
University of California Davis,Palomar College,CHE 004B,Not Articulated,,
University of California Davis,Palomar College,CHE 004C,Not Articulated,,
University of California Davis,Palomar College,PHY 009A; PHY 009B; PHY 009C,PHYS 230 (5.00); PHYS 231 (5.00),,
