UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7
University of California Berkeley,Pasadena City College,MATH 1A,MATH 005A (5.00),MATH 005AH (5.00),,,,,
University of California Berkeley,Pasadena City College,MATH 1B,MATH 005B (5.00); MATH 055 (4.00),MATH 005BH (5.00); MATH 055H (4.00),,,,,
University of California Berkeley,Pasadena City College,MATH 53,MATH 005C (5.00),MATH 005CH (5.00),,,,,
University of California Berkeley,Pasadena City College,MATH 54,MATH 010 (4.00); MATH 055 (4.00),MATH 010H (4.00); MATH 055H (4.00),,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7A,PHYS 008A (5.00),,,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7B,PHYS 008B (5.00),,,,,,
University of California Berkeley,Pasadena City College,ENGLISH R1A,ENGL 001A (4.00),ENGL 001AH (4.00),,,,,
University of California Berkeley,Pasadena City College,ENGLISH R1B,ENGL 001B (4.00),ENGL 001BH (4.00),,,,,
University of California Berkeley,Pasadena City College,ASTRON 7A,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,ASTRON 7B,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 010A (5.00); BIOL 010C (3.00),,,,,,
University of California Berkeley,Pasadena City College,BIOLOGY 1B,BIOL 010B (4.00); BIOL 010C (3.00),,,,,,
University of California Berkeley,Pasadena City College,CHEM 1A; CHEM 1AL,CHEM 001A (5.00),,,,,,
University of California Berkeley,Pasadena City College,CHEM 1B,CHEM 001B (5.00),,,,,,
University of California Berkeley,Pasadena City College,CHEM 3A; CHEM 3AL,CHEM 008A (5.00),,,,,,
University of California Berkeley,Pasadena City College,CHEM 3B; CHEM 3BL,CHEM 008B (5.00),,,,,,
University of California Berkeley,Pasadena City College,MCELLBI 32; MCELLBI 32L,PYSO 001 (4.00),,,,,,
University of California Berkeley,Pasadena City College,PHYSICS 7C,PHYS 008C (5.00),,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 61A,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 61B,CS 003B (4.00); CS 033 (3.00),CS 003C (4.00); CS 034 (3.00),CS 008 (4.00),,,,
University of California Berkeley,Pasadena City College,COMPSCI 61C,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,COMPSCI 70,Not Articulated,,,,,,
University of California Berkeley,Pasadena City College,EECS 16A,ENGR 016 (3.00); ENGR 016L (1.00); MATH 010 (4.00),ENGR 016 (3.00); ENGR 016L (1.00); MATH 010H (4.00),,,,,
University of California Berkeley,Pasadena City College,EECS 16B,Not Articulated,,,,,,
