UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Porterville College,MATH 1A,MATH P103 (4.00),
University of California Berkeley,Porterville College,MATH 1B,MATH P104 (4.00),
University of California Berkeley,Porterville College,MATH 53,MATH P205 (4.00),
University of California Berkeley,Porterville College,MATH 54,MATH P207 (4.00); MATH P208 (4.00),
University of California Berkeley,Porterville College,ENGLISH R1A,ENGL P101A (4.00),
University of California Berkeley,Porterville College,ENGLISH R1B,ENGL P101B (4.00),
University of California Berkeley,Porterville College,PHYSICS 7A,Not Articulated,
University of California Berkeley,Porterville College,,PHYS P102A (4.00); PHYS P102B (4.00),PHYS P104A (4.00)
University of California Berkeley,Porterville College,PHYSICS 7B,Not Articulated,
University of California Berkeley,Porterville College,,PHYS P102A (4.00); PHYS P102B (4.00),PHYS P104B (4.00)
University of California Berkeley,Porterville College,ASTRON 7A,Not Articulated,
University of California Berkeley,Porterville College,ASTRON 7B,Not Articulated,
University of California Berkeley,Porterville College,BIOLOGY 1A; BIOLOGY 1AL,BIOL P110 (4.00); BIOL P135 (5.00),
University of California Berkeley,Porterville College,BIOLOGY 1B,BIOL P110 (4.00); BIOL P136 (5.00),
University of California Berkeley,Porterville College,CHEM 1A; CHEM 1AL,CHEM P101A (5.00),
University of California Berkeley,Porterville College,CHEM 1B,CHEM P101B (5.00),
University of California Berkeley,Porterville College,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,Porterville College,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,Porterville College,MCELLBI 32; MCELLBI 32L,BIOL P120 (5.00),
University of California Berkeley,Porterville College,PHYSICS 7C,Not Articulated,
University of California Berkeley,Porterville College,,PHYS P102A (4.00); PHYS P102B (4.00),
University of California Berkeley,Porterville College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Porterville College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Porterville College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Porterville College,COMPSCI 70,Not Articulated,
University of California Berkeley,Porterville College,EECS 16A,Not Articulated,
University of California Berkeley,Porterville College,EECS 16B,Not Articulated,
University of California Davis,Porterville College,ECS 020,Not Articulated,
University of California Davis,Porterville College,ECS 036A,Not Articulated,
University of California Davis,Porterville College,ECS 036B,Not Articulated,
University of California Davis,Porterville College,ECS 036C,Not Articulated,
University of California Davis,Porterville College,ECS 050,Not Articulated,
University of California Davis,Porterville College,MAT 021A,MATH P103 (4.00),
University of California Davis,Porterville College,MAT 021B,MATH P104 (4.00),
University of California Davis,Porterville College,MAT 021C; MAT 021D,MATH P205 (4.00),
University of California Davis,Porterville College,MAT 022A,MATH P208 (4.00),
University of California Davis,Porterville College,MAT 027A,Not Articulated,
University of California Davis,Porterville College,MAT 067,Not Articulated,
University of California Davis,Porterville College,BIS 002A; BIS 002B,BIOL P135 (5.00); BIOL P136 (5.00),
University of California Davis,Porterville College,BIS 002C,Not Articulated,
University of California Davis,Porterville College,CHE 002A; CHE 002B; CHE 002C,CHEM P101A (5.00); CHEM P101B (5.00),
University of California Davis,Porterville College,CHE 004A,Not Articulated,
University of California Davis,Porterville College,CHE 004B,Not Articulated,
University of California Davis,Porterville College,CHE 004C,Not Articulated,
University of California Davis,Porterville College,PHY 009A,PHYS P104A (4.00),
University of California Davis,Porterville College,PHY 009B,PHYS P104B (4.00),
University of California Davis,Porterville College,PHY 009C,Not Articulated,
