UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Saddleback College,MATH 1A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Berkeley,Saddleback College,MATH 1B,MATH 3B (5.00),,,
University of California Berkeley,Saddleback College,MATH 53,MATH 3C (5.00),,,
University of California Berkeley,Saddleback College,MATH 54,MATH 24 (4.00); MATH 26 (4.00),,,
University of California Berkeley,Saddleback College,PHYSICS 7A,PHYS 4A (5.00),,,
University of California Berkeley,Saddleback College,PHYSICS 7B,PHYS 4B (5.00),,,
University of California Berkeley,Saddleback College,ENGLISH R1A,ENG 1A (4.00),ENG 1AH (4.00),,
University of California Berkeley,Saddleback College,ENGLISH R1B,ENG 1B (3.00),ENG 1BH (3.00),,
University of California Berkeley,Saddleback College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Saddleback College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Saddleback College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIO 4A (4.00); BIO 4B (4.00),,,
University of California Berkeley,Saddleback College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),,,
University of California Berkeley,Saddleback College,CHEM 1B,CHEM 1B (5.00),,,
University of California Berkeley,Saddleback College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,,
University of California Berkeley,Saddleback College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,,
University of California Berkeley,Saddleback College,MCELLBI 32; MCELLBI 32L,BIO 12 (4.00),,,
University of California Berkeley,Saddleback College,PHYSICS 7C,PHYS 4C (5.00),,,
University of California Berkeley,Saddleback College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Saddleback College,COMPSCI 61B,CS 1D (3.50),,,
University of California Berkeley,Saddleback College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Saddleback College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Saddleback College,EECS 16A,Not Articulated,,,
University of California Berkeley,Saddleback College,EECS 16B,Not Articulated,,,
University of California Davis,Saddleback College,ECS 020,CS 30A (3.00),CS 30B (3.00),MATH 30A (3.00),MATH 30B (3.00)
University of California Davis,Saddleback College,ECS 036A,CS 1A (3.50),CS 1B (3.50),CS 4A (3.50),CS 4B (3.50)
University of California Davis,Saddleback College,ECS 036B,CS 1C (3.50),,,
University of California Davis,Saddleback College,ECS 036C,CS 1D (3.50),,,
University of California Davis,Saddleback College,ECS 050,CS 3B (3.50),,,
University of California Davis,Saddleback College,MAT 021A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Davis,Saddleback College,MAT 021B,MATH 3A (5.00); MATH 3B (5.00),,,
University of California Davis,Saddleback College,MAT 021C,MATH 3B (5.00); MATH 3C (5.00),,,
University of California Davis,Saddleback College,MAT 022A,MATH 26 (4.00),,,
University of California Davis,Saddleback College,MAT 027A,Not Articulated,,,
University of California Davis,Saddleback College,MAT 067,Not Articulated,,,
University of California Davis,Saddleback College,BIS 002A,BIO 4A (4.00),,,
University of California Davis,Saddleback College,BIS 002B,Not Articulated,,,
University of California Davis,Saddleback College,BIS 002C,BIO 4B (4.00),,,
University of California Davis,Saddleback College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),,,
University of California Davis,Saddleback College,CHE 004A,Not Articulated,,,
University of California Davis,Saddleback College,CHE 004B,Not Articulated,,,
University of California Davis,Saddleback College,CHE 004C,Not Articulated,,,
University of California Davis,Saddleback College,PHY 009A,PHYS 4A (5.00); PHYS 4C (5.00),,,
University of California Davis,Saddleback College,PHY 009B,PHYS 4A (5.00); PHYS 4C (5.00),,,
University of California Davis,Saddleback College,PHY 009C,PHYS 4B (5.00),,,
University of California Irvine,Saddleback College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS 1A (3.50); CS 1B (3.50); CS 1C (3.50),,,
University of California Irvine,Saddleback College,MATH 2A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Irvine,Saddleback College,MATH 2B,MATH 3B (5.00),,,
University of California Irvine,Saddleback College,MATH 3A,MATH 26 (4.00),,,
University of California Irvine,Saddleback College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Saddleback College,I&C SCI 6B,CS 30A (3.00); CS 30B (3.00),,,
University of California Irvine,Saddleback College,I&C SCI 6D,CS 30A (3.00); MATH 30B (3.00),,,
University of California Irvine,Saddleback College,I&C SCI 45C,CS 1A (3.50); CS 1B (3.50); CS 1C (3.50),,,
University of California Irvine,Saddleback College,I&C SCI 46,CS 1D (3.50),,,
University of California Irvine,Saddleback College,I&C SCI 51,CS 3A (3.50); CS 3B (3.50),,,
University of California Irvine,Saddleback College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Saddleback College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Saddleback College,STATS 67,Not Articulated,,,
University of California Los Angeles,Saddleback College,COM SCI 31,CS 1B (3.50),CS 1C (3.50),,
University of California Los Angeles,Saddleback College,COM SCI 32,CS 1D (3.50),,,
University of California Los Angeles,Saddleback College,COM SCI 33,CS 3A (3.50); CS 3B (3.50),,,
University of California Los Angeles,Saddleback College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Saddleback College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Saddleback College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Saddleback College,MATH 31A,MATH 3A (5.00); MATH 3AH (5.00),,,
University of California Los Angeles,Saddleback College,MATH 31B,MATH 3B (5.00),,,
University of California Los Angeles,Saddleback College,MATH 32A,MATH 3C (5.00),,,
University of California Los Angeles,Saddleback College,MATH 32B,MATH 3C (5.00),,,
University of California Los Angeles,Saddleback College,MATH 33A,MATH 26 (4.00),,,
University of California Los Angeles,Saddleback College,MATH 33B,MATH 24 (4.00),,,
University of California Los Angeles,Saddleback College,MATH 61,Not Articulated,,,
University of California Los Angeles,Saddleback College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (5.00); PHYS 4B (5.00); PHYS 4C (5.00),,,
University of California Los Angeles,Saddleback College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Saddleback College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Saddleback College,ENGCOMP 3,ENG 1A (4.00),ENG 1AH (4.00),,
University of California Los Angeles,Saddleback College,,ENG 1B (3.00),ENG 1BH (3.00),ENG 25 (3.00),
University of California Los Angeles,Saddleback College,,CS 1B (3.50),,,
University of California Merced,Saddleback College,CSE 022,CS 1A (3.50),CS 1B (3.50),CS 4A (3.50),
University of California Merced,Saddleback College,CSE 030,CS 1D (3.50),,,
University of California Merced,Saddleback College,MATH 021,MATH 3A (5.00),MATH 3AH (5.00),,
University of California Merced,Saddleback College,MATH 022,MATH 3B (5.00),,,
University of California Merced,Saddleback College,MATH 023,MATH 3C (5.00),,,
University of California Merced,Saddleback College,MATH 024,MATH 24 (4.00); MATH 26 (4.00),,,
University of California Merced,Saddleback College,PHYS 008; PHYS 008L,PHYS 4A (5.00),,,
University of California Merced,Saddleback College,PHYS 009; PHYS 009L,PHYS 4B (5.00),,,
University of California Merced,Saddleback College,CSE 015,CS 30A (3.00); CS 30B (3.00),,,
University of California Merced,Saddleback College,CSE 022,CS 1A (3.50),CS 1B (3.50),CS 4A (3.50),
University of California Merced,Saddleback College,CSE 024,CS 1C (3.50),,,
University of California Merced,Saddleback College,CSE 030,CS 1D (3.50),,,
University of California Merced,Saddleback College,CSE 031,CS 3A (3.50); CS 3B (3.50),,,
University of California Merced,Saddleback College,ENGR 065,Not Articulated,,,
University of California Merced,Saddleback College,ENGR 091,Not Articulated,,,
University of California Merced,Saddleback College,MATH 032,Not Articulated,,,
University of California Merced,Saddleback College,ENGR 080,Not Articulated,,,
University of California Merced,Saddleback College,WRI 001,ENG 1A (4.00),ENG 1AH (4.00),,
University of California Merced,Saddleback College,WRI 010,ENG 1B (3.00),ENG 1BH (3.00),ENG 70 (3.00),
University of California Riverside,Saddleback College,CS 10A,CS 1B (3.50),,,
University of California Riverside,Saddleback College,CS 10B,CS 1C (3.50),CS 4A (3.50),CS 4B (3.50),
University of California Riverside,Saddleback College,MATH 9A; MATH 9B; MATH 9C,MATH 3A (5.00); MATH 3B (5.00),,,
University of California Riverside,Saddleback College,PHYS 40A,PHYS 4A (5.00),,,
University of California Riverside,Saddleback College,CS 11,Not Articulated,,,
University of California Riverside,Saddleback College,CS 10C,CS 1D (3.50),,,
University of California Riverside,Saddleback College,CS 61,CS 3A (3.50),CS 3B (3.50),,
University of California Riverside,Saddleback College,MATH 10A,MATH 3C (5.00),,,
University of California Riverside,Saddleback College,PHYS 40B,PHYS 4A (5.00); PHYS 4C (5.00),,,
University of California Riverside,Saddleback College,PHYS 40C,PHYS 4B (5.00),,,
University of California Riverside,Saddleback College,EE 20B,Not Articulated,,,
University of California Riverside,Saddleback College,MATH 31,MATH 26 (4.00),,,
University of California San Diego,Saddleback College,CSE 8A,CS 1C (3.50),CS 4A (3.50),,
University of California San Diego,Saddleback College,CSE 8B,CS 4B (3.50),,,
University of California San Diego,Saddleback College,CSE 11,Not Articulated,,,
University of California San Diego,Saddleback College,CSE 12,CS 1D (3.50),,,
University of California San Diego,Saddleback College,CSE 15L,Not Articulated,,,
University of California San Diego,Saddleback College,CSE 20,Not Articulated,,,
University of California San Diego,Saddleback College,CSE 21,Not Articulated,,,
University of California San Diego,Saddleback College,CSE 30,CS 3A (3.50); CS 3B (3.50),,,
University of California San Diego,Saddleback College,MATH 18,MATH 26 (4.00),,,
University of California San Diego,Saddleback College,MATH 20A,MATH 3A (5.00),MATH 3AH (5.00),,
University of California San Diego,Saddleback College,MATH 20B,MATH 3B (5.00),,,
University of California San Diego,Saddleback College,MATH 20C,MATH 3C (5.00),,,
University of California San Diego,Saddleback College,BILD 1,BIO 4A (4.00); BIO 4B (4.00),,,
University of California San Diego,Saddleback College,BILD 2,BIO 4A (4.00); BIO 4B (4.00),,,
University of California San Diego,Saddleback College,BILD 3,BIO 4A (4.00); BIO 4B (4.00),,,
University of California San Diego,Saddleback College,CHEM 6A,CHEM 1A (5.00),,,
University of California San Diego,Saddleback College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),,,
University of California San Diego,Saddleback College,PHYS 2A,PHYS 4A (5.00),,,
