UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,San Bernardino Valley College,MATH 1A,MATH 250 (4.00),,,
University of California Berkeley,San Bernardino Valley College,MATH 1B,MATH 251 (4.00),,,
University of California Berkeley,San Bernardino Valley College,MATH 53,MATH 252 (5.00),,,
University of California Berkeley,San Bernardino Valley College,MATH 54,MATH 265 (4.00); MATH 266 (4.00),,,
University of California Berkeley,San Bernardino Valley College,PHYSICS 7A; PHYSICS 7B,PHYSIC 202 (4.00); PHYSIC 203 (4.00); PHYSIC 204 (4.00),,,
University of California Berkeley,San Bernardino Valley College,ENGLISH R1A,ENGL 101 (4.00),ENGL 101H (4.00),,
University of California Berkeley,San Bernardino Valley College,ENGLISH R1B,ENGL 102 (4.00),ENGL 102H (4.00),,
University of California Berkeley,San Bernardino Valley College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 205 (4.00),,,
University of California Berkeley,San Bernardino Valley College,BIOLOGY 1B,BIOL 206 (4.00); BIOL 207 (4.00),,,
University of California Berkeley,San Bernardino Valley College,CHEM 1A; CHEM 1AL,CHEM 150 (5.00),,,
University of California Berkeley,San Bernardino Valley College,CHEM 1B,CHEM 151 (5.00),,,
University of California Berkeley,San Bernardino Valley College,CHEM 3A; CHEM 3AL,CHEM 212 (5.00),,,
University of California Berkeley,San Bernardino Valley College,CHEM 3B; CHEM 3BL,CHEM 213 (5.00),,,
University of California Berkeley,San Bernardino Valley College,MCELLBI 32; MCELLBI 32L,BIOL 261 (4.00),,,
University of California Berkeley,San Bernardino Valley College,PHYSICS 7C,PHYSIC 210 (4.00),,,
University of California Berkeley,San Bernardino Valley College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,San Bernardino Valley College,EECS 16A,Not Articulated,,,
