UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,San Diego Miramar College,MATH 1A,MATH 150 (5.00),,,
University of California Berkeley,San Diego Miramar College,MATH 1B,MATH 151 (4.00),,,
University of California Berkeley,San Diego Miramar College,MATH 53,MATH 252 (4.00),,,
University of California Berkeley,San Diego Miramar College,MATH 54,MATH 254 (3.00); MATH 255 (3.00),,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7A,PHYS 195 (5.00),,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7B,PHYS 196 (5.00),,,
University of California Berkeley,San Diego Miramar College,ENGLISH R1A,ENGL 101 (3.00),,,
University of California Berkeley,San Diego Miramar College,ENGLISH R1B,ENGL 205 (3.00),,,
University of California Berkeley,San Diego Miramar College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 210A (4.00); BIOL 210B (4.00),,,
University of California Berkeley,San Diego Miramar College,BIOLOGY 1B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,CHEM 1A; CHEM 1AL,CHEM 200 (3.00); CHEM 200L (2.00),,,
University of California Berkeley,San Diego Miramar College,CHEM 1B,CHEM 201 (3.00); CHEM 201L (2.00),,,
University of California Berkeley,San Diego Miramar College,CHEM 3A; CHEM 3AL,CHEM 231 (3.00); CHEM 231L (2.00),,,
University of California Berkeley,San Diego Miramar College,CHEM 3B; CHEM 3BL,CHEM 233 (3.00); CHEM 233L (2.00),,,
University of California Berkeley,San Diego Miramar College,MCELLBI 32; MCELLBI 32L,BIOL 235 (4.00),,,
University of California Berkeley,San Diego Miramar College,PHYSICS 7C,PHYS 197 (5.00),,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,San Diego Miramar College,COMPSCI 61C,Not Articulated,,,
