UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,San Joaquin Delta College,MATH 1A,MATH 1 (5.00),
University of California Berkeley,San Joaquin Delta College,MATH 1B,MATH 2 (4.00),
University of California Berkeley,San Joaquin Delta College,MATH 53,MATH 3 (4.00),
University of California Berkeley,San Joaquin Delta College,MATH 54,MATH 4 (4.00); MATH 5 (4.00),
University of California Berkeley,San Joaquin Delta College,PHYSICS 7A,PHYSC 4A (4.00),
University of California Berkeley,San Joaquin Delta College,PHYSICS 7B,PHYSC 4B (4.00); PHYSC 4C (4.00),
University of California Berkeley,San Joaquin Delta College,ENGLISH R1A,ENG 1A (3.00),
University of California Berkeley,San Joaquin Delta College,ENGLISH R1B,ENG 1B (3.00),ENG 1D (3.00)
University of California Berkeley,San Joaquin Delta College,ASTRON 7A,Not Articulated,
University of California Berkeley,San Joaquin Delta College,ASTRON 7B,Not Articulated,
University of California Berkeley,San Joaquin Delta College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 1 (4.00); BIOL 2 (5.00); BIOL 3 (4.00),
University of California Berkeley,San Joaquin Delta College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),
University of California Berkeley,San Joaquin Delta College,CHEM 1B,CHEM 1B (5.00),
University of California Berkeley,San Joaquin Delta College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 12A (5.00); CHEM 12B (5.00),
University of California Berkeley,San Joaquin Delta College,MCELLBI 32; MCELLBI 32L,BIOL 32 (5.00),
University of California Berkeley,San Joaquin Delta College,PHYSICS 7C,PHYSC 4B (4.00); PHYSC 4C (4.00),
University of California Berkeley,San Joaquin Delta College,COMPSCI 61A,Not Articulated,
University of California Berkeley,San Joaquin Delta College,COMPSCI 61B,CSP 31B (3.00); CSP 26B (3.00),CSP 26A (3.00); CSP 26B (3.00)
University of California Berkeley,San Joaquin Delta College,COMPSCI 61C,Not Articulated,
University of California Berkeley,San Joaquin Delta College,COMPSCI 70,Not Articulated,
University of California Berkeley,San Joaquin Delta College,EECS 16A,Not Articulated,
University of California Berkeley,San Joaquin Delta College,EECS 16B,Not Articulated,
University of California Davis,San Joaquin Delta College,ECS 020,CS 55 (3.00),
University of California Davis,San Joaquin Delta College,ECS 036A,Not Articulated,
University of California Davis,San Joaquin Delta College,ECS 036B,CSP 31B (3.00),
University of California Davis,San Joaquin Delta College,ECS 036C,Not Articulated,
University of California Davis,San Joaquin Delta College,ECS 050,CSP 25 (3.00),
University of California Davis,San Joaquin Delta College,MAT 021A,MATH 1 (5.00),
University of California Davis,San Joaquin Delta College,MAT 021B,MATH 2 (4.00),
University of California Davis,San Joaquin Delta College,MAT 021C,Not Articulated,
University of California Davis,San Joaquin Delta College,MAT 022A,MATH 5 (4.00),
University of California Davis,San Joaquin Delta College,MAT 027A,Not Articulated,
University of California Davis,San Joaquin Delta College,MAT 067,Not Articulated,
University of California Davis,San Joaquin Delta College,BIS 002A,BIOL 1 (4.00),
University of California Davis,San Joaquin Delta College,BIS 002B,BIOL 1 (4.00); BIOL 2 (5.00); BIOL 3 (4.00),
