UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,San Jose City College,MATH 1A,MATH 071 (5.00),,
University of California Berkeley,San Jose City College,MATH 1B,MATH 072 (5.00),,
University of California Berkeley,San Jose City College,MATH 53,MATH 073 (5.00),,
University of California Berkeley,San Jose City College,MATH 54,MATH 078 (4.00); MATH 079 (3.00),,
University of California Berkeley,San Jose City College,PHYSICS 7A,PHYS 004A (5.00),,
University of California Berkeley,San Jose City College,PHYSICS 7B,PHYS 004B (5.00),,
University of California Berkeley,San Jose City College,ENGLISH R1A,ENGL 001A (3.00),,
University of California Berkeley,San Jose City College,ENGLISH R1B,ENGL 001B (3.00),ENGL 001C (3.00),
University of California Berkeley,San Jose City College,ASTRON 7A,Not Articulated,,
University of California Berkeley,San Jose City College,ASTRON 7B,Not Articulated,,
University of California Berkeley,San Jose City College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 004A (5.00),,
University of California Berkeley,San Jose City College,BIOLOGY 1B,BIOL 004B (5.00),,
University of California Berkeley,San Jose City College,CHEM 1A; CHEM 1AL,CHEM 001A (5.00),CHEM 001AH (5.00),
University of California Berkeley,San Jose City College,CHEM 1B,CHEM 001B (5.00),,
University of California Berkeley,San Jose City College,CHEM 3A; CHEM 3AL,CHEM 012A (5.00),,
University of California Berkeley,San Jose City College,CHEM 3B; CHEM 3BL,CHEM 012B (5.00),,
University of California Berkeley,San Jose City College,MCELLBI 32; MCELLBI 32L,Not Articulated,,
University of California Berkeley,San Jose City College,PHYSICS 7C,PHYS 004C (5.00),,
University of California Berkeley,San Jose City College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,San Jose City College,COMPSCI 61B,CIS 055 (3.00),,
University of California Berkeley,San Jose City College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,San Jose City College,COMPSCI 70,Not Articulated,,
University of California Berkeley,San Jose City College,EECS 16A,Not Articulated,,
University of California Berkeley,San Jose City College,EECS 16B,Not Articulated,,
University of California Davis,San Jose City College,ECS 020,MATH 070 (4.00),MATH 080 (4.00),
