UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Santa Ana College,MATH 1A,MATH 180 (4.00),,,,,
University of California Berkeley,Santa Ana College,MATH 1B,MATH 185 (4.00),,,,,
University of California Berkeley,Santa Ana College,MATH 53,MATH 280 (4.00),,,,,
University of California Berkeley,Santa Ana College,MATH 54,MATH 287 (5.00),,,,,
University of California Berkeley,Santa Ana College,PHYSICS 7A,PHYS 217 (4.00),,,,,
University of California Berkeley,Santa Ana College,PHYSICS 7B,PHYS 227 (4.00),,,,,
University of California Berkeley,Santa Ana College,ENGLISH R1A,ENGL 101 (4.00),,,,,
University of California Berkeley,Santa Ana College,ENGLISH R1B,ENGL 102 (4.00),ENGL 103 (4.00),ENGL 103H (4.00),,,
University of California Berkeley,Santa Ana College,ASTRON 7A,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 211 (5.00); BIOL 212 (5.00); BIOL 214 (5.00),,,,,
University of California Berkeley,Santa Ana College,CHEM 1A; CHEM 1AL,CHEM 219 (5.00),CHEM 219H (5.00),,,,
University of California Berkeley,Santa Ana College,CHEM 1B,CHEM 229 (5.00),,,,,
University of California Berkeley,Santa Ana College,CHEM 3A; CHEM 3AL,CHEM 249 (5.00),,,,,
University of California Berkeley,Santa Ana College,CHEM 3B; CHEM 3BL,CHEM 259 (5.00),,,,,
University of California Berkeley,Santa Ana College,MCELLBI 32; MCELLBI 32L,BIOL 249 (4.00),,,,,
University of California Berkeley,Santa Ana College,PHYSICS 7C,PHYS 237 (4.00),,,,,
University of California Berkeley,Santa Ana College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,COMPSCI 61B,CMPR 112 (3.00); CMPR 131 (3.00),,,,,
University of California Berkeley,Santa Ana College,COMPSCI 61C,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,EECS 16A,Not Articulated,,,,,
University of California Berkeley,Santa Ana College,EECS 16B,Not Articulated,,,,,
University of California Davis,Santa Ana College,ECS 020,Not Articulated,,,,,
University of California Davis,Santa Ana College,ECS 036A,CMPR 112 (3.00),,,,,
University of California Davis,Santa Ana College,ECS 036B,Not Articulated,,,,,
University of California Davis,Santa Ana College,ECS 036C,Not Articulated,,,,,
University of California Davis,Santa Ana College,ECS 050,CMPR 129 (4.00),,,,,
University of California Davis,Santa Ana College,MAT 021A; MAT 021B; MAT 021C,MATH 180 (4.00); MATH 185 (4.00),,,,,
University of California Davis,Santa Ana College,MAT 022A,MATH 287 (5.00),,,,,
University of California Davis,Santa Ana College,MAT 027A,Not Articulated,,,,,
University of California Davis,Santa Ana College,MAT 067,Not Articulated,,,,,
University of California Davis,Santa Ana College,BIS 002A,BIOL 211 (5.00),BIOL 275 (4.00),,,,
University of California Davis,Santa Ana College,BIS 002B; BIS 002C,BIOL 212 (5.00); BIOL 214 (5.00),,,,,
University of California Davis,Santa Ana College,CHE 002A; CHE 002B; CHE 002C,CHEM 219 (5.00); CHEM 229 (5.00),CHEM 219H (5.00); CHEM 229 (5.00),,,,
University of California Davis,Santa Ana College,CHE 004A,CHEM 219H (5.00),,,,,
University of California Davis,Santa Ana College,CHE 004B,Not Articulated,,,,,
University of California Davis,Santa Ana College,CHE 004C,Not Articulated,,,,,
University of California Davis,Santa Ana College,PHY 009A,PHYS 217 (4.00),,,,,
University of California Davis,Santa Ana College,PHY 009B,PHYS 237 (4.00),,,,,
University of California Davis,Santa Ana College,PHY 009C,PHYS 227 (4.00),,,,,
