UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Santa Barbara City College,MATH 1A,MATH 150 (5.00),,,,
University of California Berkeley,Santa Barbara City College,MATH 1B,MATH 160 (5.00),,,,
University of California Berkeley,Santa Barbara City College,MATH 53,MATH 200 (4.00),,,,
University of California Berkeley,Santa Barbara City College,MATH 54,MATH 210 (4.00); MATH 220 (4.00),,,,
University of California Berkeley,Santa Barbara City College,PHYSICS 7A,PHYS 121 (5.00),,,,
University of California Berkeley,Santa Barbara City College,PHYSICS 7B,PHYS 122 (5.00),,,,
University of California Berkeley,Santa Barbara City College,ENGLISH R1A,ENG 110 (4.00),ENG 110H (4.00),ENG 200 (3.00),,
University of California Berkeley,Santa Barbara City College,ENGLISH R1B,COMM 235 (3.00),ENG 111 (3.00),ENG 111H (3.00),ENG 115 (3.00),PHIL 111 (3.00)
University of California Berkeley,Santa Barbara City College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 101 (4.00); BIOL 102 (5.00); BIOL 103 (5.00),,,,
University of California Berkeley,Santa Barbara City College,CHEM 1A; CHEM 1AL,CHEM 155 (5.00),,,,
University of California Berkeley,Santa Barbara City College,CHEM 1B,CHEM 156 (5.00),,,,
University of California Berkeley,Santa Barbara City College,CHEM 3A; CHEM 3AL,CHEM 211 (3.00); CHEM 221 (2.30),,,,
University of California Berkeley,Santa Barbara City College,CHEM 3B; CHEM 3BL,CHEM 212 (3.00); CHEM 222 (2.50),,,,
University of California Berkeley,Santa Barbara City College,MCELLBI 32; MCELLBI 32L,BMS 108 (4.00),,,,
University of California Berkeley,Santa Barbara City College,PHYSICS 7C,PHYS 123 (5.00),,,,
University of California Berkeley,Santa Barbara City College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,COMPSCI 61B,CS 106 (3.00),,,,
University of California Berkeley,Santa Barbara City College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Santa Barbara City College,EECS 16B,Not Articulated,,,,
University of California Davis,Santa Barbara City College,ECS 020,CS 108 (4.00),,,,
University of California Davis,Santa Barbara City College,ECS 036A,CS 137 (3.00),CS 140 (4.00),,,
University of California Davis,Santa Barbara City College,ECS 036B,Not Articulated,,,,
University of California Davis,Santa Barbara City College,ECS 036C,CS 106 (3.00),,,,
University of California Davis,Santa Barbara City College,ECS 050,CS 107 (3.00),,,,
University of California Davis,Santa Barbara City College,MAT 021A,MATH 150 (5.00),,,,
University of California Davis,Santa Barbara City College,MAT 021B,MATH 160 (5.00),,,,
University of California Davis,Santa Barbara City College,MAT 021C,MATH 200 (4.00),,,,
University of California Davis,Santa Barbara City College,MAT 022A,MATH 210 (4.00),,,,
University of California Davis,Santa Barbara City College,MAT 027A,Not Articulated,,,,
University of California Davis,Santa Barbara City College,MAT 067,Not Articulated,,,,
University of California Davis,Santa Barbara City College,BIS 002A; BIS 002B; BIS 002C,BIOL 101 (4.00); BIOL 102 (5.00); BIOL 103 (5.00),,,,
University of California Davis,Santa Barbara City College,CHE 002A; CHE 002B; CHE 002C,CHEM 155 (5.00); CHEM 156 (5.00),,,,
University of California Davis,Santa Barbara City College,CHE 004A,Not Articulated,,,,
University of California Davis,Santa Barbara City College,CHE 004B,Not Articulated,,,,
University of California Davis,Santa Barbara City College,CHE 004C,Not Articulated,,,,
University of California Davis,Santa Barbara City College,PHY 009A,PHYS 121 (5.00),,,,
