UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Santa Monica College,MATH 1A,MATH 7 (5.00),,
University of California Berkeley,Santa Monica College,MATH 1B,MATH 8 (5.00),,
University of California Berkeley,Santa Monica College,MATH 53,MATH 11 (5.00),,
University of California Berkeley,Santa Monica College,MATH 54,MATH 13 (3.00); MATH 15 (3.00),,
University of California Berkeley,Santa Monica College,PHYSICS 7A,PHYSCS 21 (5.00); PHYSCS 23 (5.00),,
University of California Berkeley,Santa Monica College,PHYSICS 7B,PHYSCS 22 (5.00); PHYSCS 23 (5.00),,
University of California Berkeley,Santa Monica College,ENGLISH R1A,ENGL 1 (3.00),,
University of California Berkeley,Santa Monica College,ENGLISH R1B,ENGL 2 (3.00),ENGL 31 (3.00),
University of California Berkeley,Santa Monica College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Santa Monica College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Santa Monica College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 21 (4.00); BIOL 22 (4.00); BIOL 23 (5.00),,
University of California Berkeley,Santa Monica College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 11 (5.00); CHEM 12 (5.00),,
University of California Berkeley,Santa Monica College,CHEM 3A; CHEM 3AL,CHEM 21 (5.00),,
University of California Berkeley,Santa Monica College,CHEM 3B; CHEM 3BL,CHEM 22 (4.00); CHEM 24 (2.00),,
University of California Berkeley,Santa Monica College,MCELLBI 32; MCELLBI 32L,PHYS 3 (4.00),,
University of California Berkeley,Santa Monica College,PHYSICS 7C,PHYSCS 23 (5.00); PHYSCS 24 (3.00),,
University of California Berkeley,Santa Monica College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Santa Monica College,COMPSCI 61B,CS 20A (3.00); CS 20B (3.00),,
University of California Berkeley,Santa Monica College,COMPSCI 61C,CS 17 (3.00); CS 42 (3.00),,
University of California Berkeley,Santa Monica College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Santa Monica College,EECS 16A,ENGR 21 (3.00); ENGR 22 (1.00),,
University of California Berkeley,Santa Monica College,EECS 16B,Not Articulated,,
University of California Davis,Santa Monica College,ECS 020,MATH 10 (3.00),,
University of California Davis,Santa Monica College,ECS 036A,Not Articulated,,
University of California Davis,Santa Monica College,ECS 036B,Not Articulated,,
University of California Davis,Santa Monica College,ECS 036C,CS 20A (3.00),,
University of California Davis,Santa Monica College,ECS 050,CS 17 (3.00),,
University of California Davis,Santa Monica College,MAT 021A,MATH 7 (5.00),,
University of California Davis,Santa Monica College,MAT 021B,MATH 8 (5.00),,
University of California Davis,Santa Monica College,MAT 021C,MATH 11 (5.00),,
University of California Davis,Santa Monica College,MAT 022A,MATH 13 (3.00),,
University of California Davis,Santa Monica College,MAT 027A,Not Articulated,,
University of California Davis,Santa Monica College,MAT 067,Not Articulated,,
