UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Santa Rosa Junior College,MATH 1A,MATH 1A (5.00),,,
University of California Berkeley,Santa Rosa Junior College,MATH 1B,MATH 1B (5.00),,,
University of California Berkeley,Santa Rosa Junior College,MATH 53,MATH 1B (5.00); MATH 1C (4.00),,,
University of California Berkeley,Santa Rosa Junior College,MATH 54,MATH 2 (4.00); MATH 5 (4.00),,,
University of California Berkeley,Santa Rosa Junior College,PHYSICS 7A,PHYS 40 (5.00); PHYS 41 (4.00),,,
University of California Berkeley,Santa Rosa Junior College,PHYSICS 7B,PHYS 41 (4.00); PHYS 42 (4.00),,,
University of California Berkeley,Santa Rosa Junior College,ENGLISH R1A,ENGL 1A (4.00),EMLS 10 (4.50),,
University of California Berkeley,Santa Rosa Junior College,ENGLISH R1B,ENGL 5 (3.00),,,
University of California Berkeley,Santa Rosa Junior College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,BIOLOGY 1A; BIOLOGY 1AL,BIO 2.2 (5.00); BIO 2.1 (5.00),,,
University of California Berkeley,Santa Rosa Junior College,BIOLOGY 1B,BIO 2.2 (5.00); BIO 2.3 (5.00),BIO 10 (4.00),,
University of California Berkeley,Santa Rosa Junior College,CHEM 1A; CHEM 1AL,CHEM 3A (3.00); CHEM 3AL (2.00),,,
University of California Berkeley,Santa Rosa Junior College,CHEM 1B,CHEM 3B (5.00),,,
University of California Berkeley,Santa Rosa Junior College,CHEM 3A; CHEM 3AL,CHEM 8 (5.00),CHEM 12A (5.00),,
University of California Berkeley,Santa Rosa Junior College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,,
University of California Berkeley,Santa Rosa Junior College,MCELLBI 32; MCELLBI 32L,PHYSIO 1 (5.00),,,
University of California Berkeley,Santa Rosa Junior College,PHYSICS 7C,PHYS 42 (4.00); PHYS 43 (3.00),,,
University of California Berkeley,Santa Rosa Junior College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,COMPSCI 61B,CS 10C (4.00),,,
University of California Berkeley,Santa Rosa Junior College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,EECS 16A,Not Articulated,,,
University of California Berkeley,Santa Rosa Junior College,EECS 16B,Not Articulated,,,
