UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Berkeley,Santiago Canyon College,MATH 1A,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50),,,
University of California Berkeley,Santiago Canyon College,MATH 1B,MATH 185 (4.00),,,,,
University of California Berkeley,Santiago Canyon College,MATH 53,MATH 280 (4.00),,,,,
University of California Berkeley,Santiago Canyon College,MATH 54,MATH 290 (3.00); MATH 295 (3.00),MATH 287 (5.00),,,,
University of California Berkeley,Santiago Canyon College,PHYSICS 7A,PHYS 250A (5.00),,,,,
University of California Berkeley,Santiago Canyon College,PHYSICS 7B,PHYS 250B (5.00),,,,,
University of California Berkeley,Santiago Canyon College,ENGLISH R1A,ENGL 100 (4.50),ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Berkeley,Santiago Canyon College,ENGLISH R1B,ENGL 102 (4.00),ENGL 102H (4.00),ENGL 103 (4.00),ENGL 103H (4.00),,
University of California Berkeley,Santiago Canyon College,ASTRON 7A,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,ASTRON 7B,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 211 (5.00); BIOL 221 (5.00),,,,,
University of California Berkeley,Santiago Canyon College,BIOLOGY 1B,BIOL 221 (5.00); BIOL 231 (5.00),,,,,
University of California Berkeley,Santiago Canyon College,CHEM 1A; CHEM 1AL,CHEM 200A (5.00),CHEM 200AH (5.00),,,,
University of California Berkeley,Santiago Canyon College,CHEM 1B,CHEM 200B (5.00),,,,,
University of California Berkeley,Santiago Canyon College,CHEM 3A; CHEM 3AL,CHEM 280A (5.00),,,,,
University of California Berkeley,Santiago Canyon College,CHEM 3B; CHEM 3BL,CHEM 280B (5.00),,,,,
University of California Berkeley,Santiago Canyon College,MCELLBI 32; MCELLBI 32L,BIOL 249 (4.00),,,,,
University of California Berkeley,Santiago Canyon College,PHYSICS 7C,PHYS 250C (5.00),,,,,
University of California Berkeley,Santiago Canyon College,COMPSCI 61A,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,COMPSCI 61B,CMPR 121 (3.00); CMPR 131 (3.00),,,,,
University of California Berkeley,Santiago Canyon College,COMPSCI 61C,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,COMPSCI 70,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,EECS 16A,Not Articulated,,,,,
University of California Berkeley,Santiago Canyon College,EECS 16B,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,ECS 020,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,ECS 036A,CMPR 112 (3.00),CMPR 121 (3.00),,,,
University of California Davis,Santiago Canyon College,ECS 036B,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,ECS 036C,Not Articulated,,,,,
University of California Davis,Santiago Canyon College,ECS 050,CMPR 129 (4.00),,,,,
University of California Davis,Santiago Canyon College,MAT 021A,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50),,,
University of California Davis,Santiago Canyon College,MAT 021B,MATH 180 (4.00); MATH 185 (4.00),MATH 180H (4.00); MATH 185 (4.00),,,,
