UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Shasta College,MATH 1A,MATH 3A (4.00),
University of California Berkeley,Shasta College,MATH 1B,MATH 3B (5.00); MATH 4B (4.00),
University of California Berkeley,Shasta College,MATH 53,MATH 4A (4.00),
University of California Berkeley,Shasta College,MATH 54,MATH 4B (4.00); MATH 6 (3.00),
University of California Berkeley,Shasta College,PHYSICS 7A,PHYS 4A (4.00),
University of California Berkeley,Shasta College,PHYSICS 7B,PHYS 4B (4.00),
University of California Berkeley,Shasta College,ENGLISH R1A,ENGL 1A (4.00),
University of California Berkeley,Shasta College,ENGLISH R1B,ENGL 1B (3.00),ENGL 1C (3.00)
University of California Berkeley,Shasta College,ASTRON 7A,Not Articulated,
University of California Berkeley,Shasta College,ASTRON 7B,Not Articulated,
University of California Berkeley,Shasta College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1 (4.00); ZOOL 1 (4.00),
University of California Berkeley,Shasta College,BIOLOGY 1B,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California Berkeley,Shasta College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),
University of California Berkeley,Shasta College,CHEM 1B,CHEM 1B (5.00),
University of California Berkeley,Shasta College,CHEM 3A; CHEM 3AL,CHEM 70 (4.00); CHEM 70A (1.00),
University of California Berkeley,Shasta College,CHEM 3B; CHEM 3BL,CHEM 71 (3.00); CHEM 71A (2.00),
University of California Berkeley,Shasta College,MCELLBI 32; MCELLBI 32L,Not Articulated,
University of California Berkeley,Shasta College,PHYSICS 7C,PHYS 4C (4.00),
University of California Berkeley,Shasta College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Shasta College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Shasta College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Shasta College,COMPSCI 70,Not Articulated,
University of California Berkeley,Shasta College,EECS 16A,Not Articulated,
University of California Berkeley,Shasta College,EECS 16B,Not Articulated,
University of California Davis,Shasta College,ECS 020,CIS 67 (3.00),
University of California Davis,Shasta College,ECS 036A,CIS 61 (3.00),CIS 62 (3.00)
University of California Davis,Shasta College,ECS 036B,CIS 65 (3.00),
University of California Davis,Shasta College,ECS 036C,Not Articulated,
University of California Davis,Shasta College,ECS 050,CIS 63 (4.00),CIS 66 (3.00)
University of California Davis,Shasta College,MAT 021A,MATH 3A (4.00),
University of California Davis,Shasta College,MAT 021B,MATH 3B (5.00),
University of California Davis,Shasta College,MAT 021C; MAT 021D,MATH 4A (4.00),
University of California Davis,Shasta College,MAT 022A,MATH 6 (3.00),
University of California Davis,Shasta College,MAT 027A,Not Articulated,
University of California Davis,Shasta College,MAT 067,Not Articulated,
University of California Davis,Shasta College,BIS 002A; BIS 002B; BIS 002C,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California Davis,Shasta College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),
University of California Davis,Shasta College,CHE 004A,Not Articulated,
University of California Davis,Shasta College,CHE 004B,Not Articulated,
University of California Davis,Shasta College,CHE 004C,Not Articulated,
University of California Davis,Shasta College,PHY 009A,PHYS 4A (4.00),
University of California Davis,Shasta College,PHY 009B,PHYS 4C (4.00),
University of California Davis,Shasta College,PHY 009C,PHYS 4B (4.00),
University of California Irvine,Shasta College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Shasta College,MATH 2A,MATH 3A (4.00),
University of California Irvine,Shasta College,MATH 2B,MATH 3B (5.00),
University of California Irvine,Shasta College,MATH 3A,MATH 6 (3.00),
University of California Irvine,Shasta College,I&C SCI 6N,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 6B,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 6D,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 45C,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 46,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 51,Not Articulated,
University of California Irvine,Shasta College,I&C SCI 53,Not Articulated,
University of California Irvine,Shasta College,IN4MATX 43,Not Articulated,
University of California Irvine,Shasta College,STATS 67,Not Articulated,
University of California Los Angeles,Shasta College,COM SCI 31,Not Articulated,
University of California Los Angeles,Shasta College,COM SCI 32,Not Articulated,
University of California Los Angeles,Shasta College,COM SCI 33,Not Articulated,
University of California Los Angeles,Shasta College,COM SCI 35L,Not Articulated,
University of California Los Angeles,Shasta College,COM SCI M51A,Not Articulated,
University of California Los Angeles,Shasta College,EC ENGR M16,Not Articulated,
University of California Los Angeles,Shasta College,MATH 31A,MATH 3A (4.00),
University of California Los Angeles,Shasta College,MATH 31B,MATH 3B (5.00),
University of California Los Angeles,Shasta College,MATH 32A,MATH 4A (4.00),
University of California Los Angeles,Shasta College,MATH 32B,MATH 4A (4.00),
University of California Los Angeles,Shasta College,MATH 33A,MATH 6 (3.00),
University of California Los Angeles,Shasta College,MATH 33B,MATH 4B (4.00),
University of California Los Angeles,Shasta College,MATH 61,CIS 67 (3.00),
University of California Los Angeles,Shasta College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Los Angeles,Shasta College,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,Shasta College,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,Shasta College,ENGCOMP 3,ENGL 1A (4.00),
University of California Los Angeles,Shasta College,,ENGL 1B (3.00),ENGL 1C (3.00)
University of California Los Angeles,Shasta College,,CIS 61 (3.00),
University of California Merced,Shasta College,CSE 022,CIS 61 (3.00),
University of California Merced,Shasta College,CSE 030,CIS 65 (3.00),
University of California Merced,Shasta College,MATH 021,MATH 3A (4.00),
University of California Merced,Shasta College,MATH 022,MATH 3B (5.00),
University of California Merced,Shasta College,MATH 023,MATH 4A (4.00),
University of California Merced,Shasta College,MATH 024,MATH 4B (4.00); MATH 6 (3.00),
University of California Merced,Shasta College,PHYS 008; PHYS 008L,PHYS 4A (4.00),
University of California Merced,Shasta College,PHYS 009; PHYS 009L,PHYS 4B (4.00),
University of California Merced,Shasta College,CSE 015,CIS 67 (3.00),
University of California Merced,Shasta College,CSE 022,CIS 61 (3.00),
University of California Merced,Shasta College,CSE 024,Not Articulated,
University of California Merced,Shasta College,CSE 030,CIS 65 (3.00),
University of California Merced,Shasta College,CSE 031,CIS 63 (4.00),
University of California Merced,Shasta College,ENGR 065,ENGR 17 (4.00),
University of California Merced,Shasta College,ENGR 091,Not Articulated,
University of California Merced,Shasta College,MATH 032,Not Articulated,
University of California Merced,Shasta College,ENGR 080,Not Articulated,
University of California Merced,Shasta College,WRI 001,ENGL 1A (4.00),ENGL 1AX (5.00)
University of California Merced,Shasta College,WRI 010,ENGL 1B (3.00),ENGL 1C (3.00)
University of California Riverside,Shasta College,CS 10A,CIS 61 (3.00),CIS 62 (3.00)
University of California Riverside,Shasta College,CS 10B,CIS 65 (3.00),
University of California Riverside,Shasta College,MATH 9A; MATH 9B; MATH 9C,MATH 3A (4.00); MATH 3B (5.00),
University of California Riverside,Shasta College,PHYS 40A,PHYS 4A (4.00),
University of California Riverside,Shasta College,CS 11,Not Articulated,
University of California Riverside,Shasta College,CS 10C,CIS 65 (3.00),
University of California Riverside,Shasta College,CS 61,CIS 63 (4.00),
University of California Riverside,Shasta College,MATH 10A,MATH 4A (4.00),
University of California Riverside,Shasta College,PHYS 40B,PHYS 4C (4.00),
University of California Riverside,Shasta College,PHYS 40C,PHYS 4B (4.00),
University of California Riverside,Shasta College,EE 20B,Not Articulated,
University of California Riverside,Shasta College,MATH 31,MATH 6 (3.00),
University of California San Diego,Shasta College,CSE 8A,Not Articulated,
University of California San Diego,Shasta College,CSE 8B,Not Articulated,
University of California San Diego,Shasta College,CSE 11,Not Articulated,
University of California San Diego,Shasta College,CSE 12,Not Articulated,
University of California San Diego,Shasta College,CSE 15L,Not Articulated,
University of California San Diego,Shasta College,CSE 20,Not Articulated,
University of California San Diego,Shasta College,CSE 21,Not Articulated,
University of California San Diego,Shasta College,CSE 30,Not Articulated,
University of California San Diego,Shasta College,MATH 18,MATH 6 (3.00),
University of California San Diego,Shasta College,MATH 20A,MATH 3A (4.00),
University of California San Diego,Shasta College,MATH 20B,MATH 3B (5.00),
University of California San Diego,Shasta College,MATH 20C,MATH 4A (4.00),
University of California San Diego,Shasta College,BILD 1,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California San Diego,Shasta College,BILD 2,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California San Diego,Shasta College,BILD 3,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California San Diego,Shasta College,CHEM 6A,CHEM 1A (5.00),
University of California San Diego,Shasta College,CHEM 6B,CHEM 1A (5.00); CHEM 1B (5.00),
University of California San Diego,Shasta College,PHYS 2A,PHYS 4A (4.00),
University of California San Diego,Shasta College,PHYS 2B,PHYS 4B (4.00),
University of California San Diego,Shasta College,PHYS 4A,Not Articulated,
University of California San Diego,Shasta College,PHYS 4B,Not Articulated,
University of California Santa Barbara,Shasta College,MATH 3A,MATH 3A (4.00),
University of California Santa Barbara,Shasta College,MATH 3B,MATH 3B (5.00),
University of California Santa Barbara,Shasta College,MATH 4A,MATH 6 (3.00),
University of California Santa Barbara,Shasta College,MATH 4B,MATH 4B (4.00),
University of California Santa Barbara,Shasta College,CMPSC 16,CIS 61 (3.00),
University of California Santa Barbara,Shasta College,CMPSC 24,CIS 65 (3.00),
University of California Santa Barbara,Shasta College,CMPSC 40,CIS 67 (3.00),
University of California Santa Barbara,Shasta College,CMPSC 32,Not Articulated,
University of California Santa Barbara,Shasta College,CMPSC 64,CIS 63 (4.00),CIS 66 (3.00)
University of California Santa Barbara,Shasta College,MATH 6A,MATH 4A (4.00),
University of California Santa Barbara,Shasta College,PHYS 1,PHYS 4A (4.00),
University of California Santa Barbara,Shasta College,PHYS 2,PHYS 4A (4.00),
University of California Santa Barbara,Shasta College,PHYS 3; PHYS 3L,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Santa Barbara,Shasta College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 2A (4.00); PHYS 2B (4.00),
University of California Santa Barbara,Shasta College,PHYS 7A,PHYS 4A (4.00),
University of California Santa Barbara,Shasta College,PHYS 7B,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Santa Barbara,Shasta College,PHYS 7C,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Santa Barbara,Shasta College,PHYS 7D,PHYS 4C (4.00),
University of California Santa Barbara,Shasta College,PHYS 7L,PHYS 4A (4.00); PHYS 4B (4.00),
University of California Santa Barbara,Shasta College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 1A (5.00); CHEM 1B (5.00),
University of California Santa Barbara,Shasta College,MCDB 1A; MCDB 1LL,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California Santa Barbara,Shasta College,MCDB 1B,BIOL 1 (4.00); BOT 1 (4.00); ZOOL 1 (4.00),
University of California Santa Barbara,Shasta College,PSTAT 120A,Not Articulated,
University of California Santa Cruz,Shasta College,CSE 12,CIS 63 (4.00),
University of California Santa Cruz,Shasta College,CSE 16,CIS 67 (3.00),
University of California Santa Cruz,Shasta College,CSE 30,Not Articulated,
University of California Santa Cruz,Shasta College,MATH 19A,MATH 3A (4.00),
University of California Santa Cruz,Shasta College,MATH 19B,MATH 3B (5.00),
University of California Santa Cruz,Shasta College,AM 10,MATH 6 (3.00),
University of California Santa Cruz,Shasta College,MATH 21,MATH 6 (3.00),
University of California Santa Cruz,Shasta College,AM 30,MATH 4A (4.00),
University of California Santa Cruz,Shasta College,MATH 23A,MATH 4A (4.00),
