UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Sierra College,MATH 1A,MATH 30 (4.00),,
University of California Berkeley,Sierra College,MATH 1B,MATH 31 (4.00),,
University of California Berkeley,Sierra College,MATH 53,MATH 32 (4.00),,
University of California Berkeley,Sierra College,MATH 54,MATH 33 (6.00),,
University of California Berkeley,Sierra College,PHYSICS 7A,PHYS 205 (4.00); PHYS 205L (1.00),,
University of California Berkeley,Sierra College,PHYSICS 7B,PHYS 210 (3.00); PHYS 210L (1.00); PHYS 215 (3.00); PHYS 215L (1.00),,
University of California Berkeley,Sierra College,ENGLISH R1A,ENGL 1A (4.00),,
University of California Berkeley,Sierra College,ENGLISH R1B,ENGL 1B (3.00),ENGL 1C (3.00),
University of California Berkeley,Sierra College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Sierra College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Sierra College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1 (4.00); BIOL 3 (4.50),,
University of California Berkeley,Sierra College,BIOLOGY 1B,BIOL 1 (4.00); BIOL 2 (4.50),,
University of California Berkeley,Sierra College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 1A (5.00); CHEM 1B (5.00),CHEM 3A (3.00); CHEM 3B (3.00); CHEM 1B (5.00),
University of California Berkeley,Sierra College,CHEM 3A; CHEM 3AL,CHEM 12A (5.00),,
University of California Berkeley,Sierra College,CHEM 3B; CHEM 3BL,CHEM 12B (5.00),,
University of California Berkeley,Sierra College,MCELLBI 32; MCELLBI 32L,BIOL 6 (5.00),,
University of California Berkeley,Sierra College,PHYSICS 7C,PHYS 210 (3.00); PHYS 210L (1.00); PHYS 215 (3.00); PHYS 215L (1.00),,
University of California Berkeley,Sierra College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Sierra College,COMPSCI 61B,CSCI 14 (3.00),,
University of California Berkeley,Sierra College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Sierra College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Sierra College,EECS 16A,Not Articulated,,
University of California Berkeley,Sierra College,EECS 16B,Not Articulated,,
University of California Davis,Sierra College,ECS 020,CSCI 26 (3.00),MATH 15 (4.00),
University of California Davis,Sierra College,ECS 036A,CSCI 46 (3.00),,
University of California Davis,Sierra College,ECS 036B,CSCI 13 (3.00),,
University of California Davis,Sierra College,ECS 036C,CSCI 14 (3.00),,
University of California Davis,Sierra College,ECS 050,CSCI 39 (3.00),,
University of California Davis,Sierra College,MAT 021A,MATH 30 (4.00),,
University of California Davis,Sierra College,MAT 021B,MATH 30 (4.00); MATH 31 (4.00),,
University of California Davis,Sierra College,MAT 021C,MATH 31 (4.00); MATH 32 (4.00),,
University of California Davis,Sierra College,MAT 022A; MAT 022B,MATH 33 (6.00),,
University of California Davis,Sierra College,MAT 027A,Not Articulated,,
University of California Davis,Sierra College,MAT 067,Not Articulated,,
University of California Davis,Sierra College,BIS 002A,BIOL 1 (4.00),,
University of California Davis,Sierra College,BIS 002B,BIOL 1 (4.00),,
University of California Davis,Sierra College,BIS 002C,BIOL 2 (4.50); BIOL 3 (4.50),,
