UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Solano Community College,MATH 1A,MATH 020 (4.00),,
University of California Berkeley,Solano Community College,MATH 1B,MATH 021 (4.00); MATH 023 (4.00),,
University of California Berkeley,Solano Community College,MATH 53,MATH 022 (4.00),,
University of California Berkeley,Solano Community College,MATH 54,MATH 023 (4.00); MATH 040 (3.00),,
University of California Berkeley,Solano Community College,PHYSICS 7A,PHYS 006 (5.00),,
University of California Berkeley,Solano Community College,PHYSICS 7B,PHYS 007 (5.00),,
University of California Berkeley,Solano Community College,ENGLISH R1A,ENGL 001 (4.00),,
University of California Berkeley,Solano Community College,ENGLISH R1B,ENGL 002 (4.00),ENGL 004 (4.00),
University of California Berkeley,Solano Community College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Solano Community College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Solano Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIO 003 (5.00); BIO 002 (5.00),,
University of California Berkeley,Solano Community College,CHEM 1A; CHEM 1AL,CHEM 001 (5.00),,
University of California Berkeley,Solano Community College,CHEM 1B,CHEM 002 (5.00),,
University of California Berkeley,Solano Community College,CHEM 3A; CHEM 3AL,CHEM 003 (5.00),,
University of California Berkeley,Solano Community College,CHEM 3B; CHEM 3BL,CHEM 004 (5.00),,
University of California Berkeley,Solano Community College,MCELLBI 32; MCELLBI 32L,BIO 005 (5.00),,
University of California Berkeley,Solano Community College,PHYSICS 7C,PHYS 008 (5.00),,
University of California Berkeley,Solano Community College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Solano Community College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Solano Community College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Solano Community College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Solano Community College,EECS 16A,Not Articulated,,
University of California Berkeley,Solano Community College,EECS 16B,Not Articulated,,
University of California Davis,Solano Community College,ECS 020,CIS 021 (3.00),,
University of California Davis,Solano Community College,ECS 036A,CIS 022 (3.00),CIS 035 (3.00),
University of California Davis,Solano Community College,ECS 036B,CIS 023 (3.00),,
University of California Davis,Solano Community College,ECS 036C,CIS 023 (3.00),,
University of California Davis,Solano Community College,ECS 050,CIS 020 (3.00),,
University of California Davis,Solano Community College,MAT 021A,MATH 020 (4.00),,
University of California Davis,Solano Community College,MAT 021B,MATH 021 (4.00),,
University of California Davis,Solano Community College,MAT 021C; MAT 021D,MATH 022 (4.00),,
University of California Davis,Solano Community College,MAT 022A,MATH 040 (3.00),,
University of California Davis,Solano Community College,MAT 027A,Not Articulated,,
University of California Davis,Solano Community College,MAT 067,Not Articulated,,
University of California Davis,Solano Community College,BIS 002A,BIO 002 (5.00),,
University of California Davis,Solano Community College,BIS 002B; BIS 002C,BIO 003 (5.00),,
University of California Davis,Solano Community College,CHE 002A; CHE 002B; CHE 002C,CHEM 001 (5.00); CHEM 002 (5.00),,
University of California Davis,Solano Community College,CHE 004A,Not Articulated,,
University of California Davis,Solano Community College,CHE 004B,Not Articulated,,
University of California Davis,Solano Community College,CHE 004C,Not Articulated,,
University of California Davis,Solano Community College,PHY 009A,PHYS 006 (5.00); PHYS 007 (5.00); PHYS 008 (5.00),,
University of California Davis,Solano Community College,PHY 009B,PHYS 006 (5.00); PHYS 007 (5.00); PHYS 008 (5.00),,
University of California Davis,Solano Community College,PHY 009C,PHYS 006 (5.00); PHYS 007 (5.00); PHYS 008 (5.00),,
University of California Irvine,Solano Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,
