UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Southwestern College,MATH 1A,MATH 250 (5.00),,,
University of California Berkeley,Southwestern College,MATH 1B,MATH 251 (4.00),,,
University of California Berkeley,Southwestern College,MATH 53,MATH 252 (4.00),,,
University of California Berkeley,Southwestern College,MATH 54,MATH 253 (3.00); MATH 254 (3.00),,,
University of California Berkeley,Southwestern College,PHYSICS 7A,PHYS 270 (3.00); PHYS 271 (1.00),,,
University of California Berkeley,Southwestern College,PHYSICS 7B,PHYS 272 (3.00); PHYS 273 (1.00),,,
University of California Berkeley,Southwestern College,ENGLISH R1A,ENGL 115 (4.00),,,
University of California Berkeley,Southwestern College,ENGLISH R1B,ENGL 116 (4.00),,,
University of California Berkeley,Southwestern College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Southwestern College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Southwestern College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 210 (4.00); BIOL 211 (4.00),,,
University of California Berkeley,Southwestern College,BIOLOGY 1B,BIOL 211 (4.00); BIOL 212 (4.00),,,
University of California Berkeley,Southwestern College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 200 (5.00); CHEM 210 (5.00),,,
University of California Berkeley,Southwestern College,CHEM 3A; CHEM 3AL,CHEM 240 (5.00),,,
University of California Berkeley,Southwestern College,CHEM 3B; CHEM 3BL,CHEM 242 (5.00),,,
University of California Berkeley,Southwestern College,MCELLBI 32; MCELLBI 32L,BIOL 261 (4.00),,,
University of California Berkeley,Southwestern College,PHYSICS 7C,PHYS 274 (3.00); PHYS 275 (2.00),,,
University of California Berkeley,Southwestern College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Southwestern College,COMPSCI 61B,MATH 130 (4.00); MATH 140 (4.00),,,
University of California Berkeley,Southwestern College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Southwestern College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Southwestern College,EECS 16A,Not Articulated,,,
University of California Berkeley,Southwestern College,EECS 16B,Not Articulated,,,
University of California Davis,Southwestern College,ECS 020,MATH 260 (3.00),MATH 265 (3.00),,
University of California Davis,Southwestern College,ECS 036A,CIS 115 (4.00),MATH 130 (4.00),,
University of California Davis,Southwestern College,ECS 036B,Not Articulated,,,
University of California Davis,Southwestern College,ECS 036C,Not Articulated,,,
University of California Davis,Southwestern College,ECS 050,MATH 230 (4.00),,,
University of California Davis,Southwestern College,MAT 021A,MATH 250 (5.00),,,
University of California Davis,Southwestern College,MAT 021B,MATH 251 (4.00),,,
University of California Davis,Southwestern College,MAT 021C,MATH 252 (4.00),,,
University of California Davis,Southwestern College,MAT 022A,MATH 254 (3.00),,,
University of California Davis,Southwestern College,MAT 027A,Not Articulated,,,
University of California Davis,Southwestern College,MAT 067,Not Articulated,,,
University of California Davis,Southwestern College,BIS 002A,BIOL 211 (4.00),,,
University of California Davis,Southwestern College,BIS 002B,BIOL 145 (3.00); BIOL 180 (3.00),,,
University of California Davis,Southwestern College,BIS 002C,BIOL 210 (4.00); BIOL 212 (4.00),,,
University of California Davis,Southwestern College,CHE 002A; CHE 002B; CHE 002C,CHEM 200 (5.00); CHEM 210 (5.00),,,
University of California Davis,Southwestern College,CHE 004A,Not Articulated,,,
University of California Davis,Southwestern College,CHE 004B,Not Articulated,,,
University of California Davis,Southwestern College,CHE 004C,Not Articulated,,,
University of California Davis,Southwestern College,PHY 009A,PHYS 270 (3.00); PHYS 271 (1.00),,,
University of California Davis,Southwestern College,PHY 009B,PHYS 274 (3.00),,,
University of California Davis,Southwestern College,PHY 009C,PHYS 272 (3.00),,,
University of California Irvine,Southwestern College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CIS 106 (3.00),,,
University of California Irvine,Southwestern College,MATH 2A,MATH 121 (3.00); MATH 122 (3.00),MATH 250 (5.00),,
University of California Irvine,Southwestern College,MATH 2B,MATH 251 (4.00),,,
University of California Irvine,Southwestern College,MATH 3A,MATH 254 (3.00),,,
University of California Irvine,Southwestern College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Southwestern College,I&C SCI 6B,MATH 265 (3.00),,,
University of California Irvine,Southwestern College,I&C SCI 6D,MATH 265 (3.00),,,
University of California Irvine,Southwestern College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Southwestern College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Southwestern College,I&C SCI 51,MATH 230 (4.00),,,
University of California Irvine,Southwestern College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Southwestern College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Southwestern College,STATS 67,Not Articulated,,,
University of California Los Angeles,Southwestern College,COM SCI 31,CIS 115 (4.00),,,
University of California Los Angeles,Southwestern College,COM SCI 32,Not Articulated,,,
University of California Los Angeles,Southwestern College,COM SCI 33,MATH 230 (4.00),,,
University of California Los Angeles,Southwestern College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Southwestern College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Southwestern College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Southwestern College,MATH 31A,MATH 250 (5.00),,,
University of California Los Angeles,Southwestern College,MATH 31B,MATH 251 (4.00),,,
University of California Los Angeles,Southwestern College,MATH 32A,MATH 252 (4.00),,,
University of California Los Angeles,Southwestern College,MATH 32B,MATH 252 (4.00),,,
University of California Los Angeles,Southwestern College,MATH 33A,MATH 254 (3.00),,,
University of California Los Angeles,Southwestern College,MATH 33B,MATH 253 (3.00),,,
University of California Los Angeles,Southwestern College,MATH 61,MATH 265 (3.00),,,
University of California Los Angeles,Southwestern College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 270 (3.00); PHYS 272 (3.00); PHYS 274 (3.00),,,
