UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Taft College,MATH 1A,MATH 2100 (5.00),
University of California Berkeley,Taft College,MATH 1B,MATH 2120 (4.00),
University of California Berkeley,Taft College,MATH 53,MATH 2130 (4.00),
University of California Berkeley,Taft College,MATH 54,MATH 2125 (4.00); MATH 2140 (4.00),
University of California Berkeley,Taft College,PHYSICS 7A,PHYS 2221 (4.00),
University of California Berkeley,Taft College,PHYSICS 7B,PHYS 2222 (4.00),
University of California Berkeley,Taft College,ENGLISH R1A,ENGL 1500 (3.00),
University of California Berkeley,Taft College,ENGLISH R1B,ENGL 1600 (4.00),
University of California Berkeley,Taft College,ASTRON 7A,Not Articulated,
University of California Berkeley,Taft College,ASTRON 7B,Not Articulated,
University of California Berkeley,Taft College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 2201 (4.00); BIOL 2202 (5.00); BIOL 2203 (4.00),
University of California Berkeley,Taft College,CHEM 1A; CHEM 1AL,CHEM 2211 (5.00),
University of California Berkeley,Taft College,CHEM 1B,CHEM 2212 (5.00),
University of California Berkeley,Taft College,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,Taft College,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,Taft College,MCELLBI 32; MCELLBI 32L,Not Articulated,
University of California Berkeley,Taft College,PHYSICS 7C,Not Articulated,
University of California Berkeley,Taft College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Taft College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Taft College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Taft College,COMPSCI 70,Not Articulated,
University of California Berkeley,Taft College,EECS 16A,Not Articulated,
University of California Berkeley,Taft College,EECS 16B,Not Articulated,
University of California Davis,Taft College,ECS 020,Not Articulated,
University of California Davis,Taft College,ECS 036A,ENGR 1540 (4.00),
University of California Davis,Taft College,ECS 036B,Not Articulated,
University of California Davis,Taft College,ECS 036C,Not Articulated,
University of California Davis,Taft College,ECS 050,Not Articulated,
University of California Davis,Taft College,MAT 021A,MATH 2100 (5.00),
University of California Davis,Taft College,MAT 021B,MATH 2120 (4.00),
University of California Davis,Taft College,MAT 021C,MATH 2130 (4.00),
University of California Davis,Taft College,MAT 022A,MATH 2125 (4.00),
University of California Davis,Taft College,MAT 027A,Not Articulated,
University of California Davis,Taft College,MAT 067,Not Articulated,
University of California Davis,Taft College,BIS 002A,BIOL 2201 (4.00); BIOL 2202 (5.00); BIOL 2203 (4.00),
University of California Davis,Taft College,BIS 002B,Not Articulated,
University of California Davis,Taft College,BIS 002C,BIOL 2202 (5.00); BIOL 2203 (4.00),
University of California Davis,Taft College,CHE 002A; CHE 002B; CHE 002C,CHEM 2211 (5.00); CHEM 2212 (5.00),
University of California Davis,Taft College,CHE 004A,Not Articulated,
University of California Davis,Taft College,CHE 004B,Not Articulated,
University of California Davis,Taft College,CHE 004C,Not Articulated,
University of California Davis,Taft College,PHY 009A,PHYS 2221 (4.00),
University of California Davis,Taft College,PHY 009B,PHYS 2221 (4.00); PHYS 2223 (4.00),
University of California Davis,Taft College,PHY 009C,Not Articulated,
University of California Irvine,Taft College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Taft College,MATH 2A,MATH 2100 (5.00),
University of California Irvine,Taft College,MATH 2B,MATH 2120 (4.00),
University of California Irvine,Taft College,MATH 3A,MATH 2125 (4.00),
University of California Irvine,Taft College,I&C SCI 6N,Not Articulated,
University of California Irvine,Taft College,I&C SCI 6B,Not Articulated,
University of California Irvine,Taft College,I&C SCI 6D,Not Articulated,
University of California Irvine,Taft College,I&C SCI 45C,Not Articulated,
University of California Irvine,Taft College,I&C SCI 46,Not Articulated,
University of California Irvine,Taft College,I&C SCI 51,Not Articulated,
University of California Irvine,Taft College,I&C SCI 53,Not Articulated,
University of California Irvine,Taft College,IN4MATX 43,Not Articulated,
University of California Irvine,Taft College,STATS 67,Not Articulated,
University of California Los Angeles,Taft College,COM SCI 31,Not Articulated,
University of California Los Angeles,Taft College,COM SCI 32,Not Articulated,
University of California Los Angeles,Taft College,COM SCI 33,Not Articulated,
University of California Los Angeles,Taft College,COM SCI 35L,Not Articulated,
University of California Los Angeles,Taft College,COM SCI M51A,Not Articulated,
University of California Los Angeles,Taft College,EC ENGR M16,Not Articulated,
University of California Los Angeles,Taft College,MATH 31A,MATH 2100 (5.00),
University of California Los Angeles,Taft College,MATH 31B,MATH 2120 (4.00),
University of California Los Angeles,Taft College,MATH 32A,MATH 2130 (4.00),
University of California Los Angeles,Taft College,MATH 32B,MATH 2130 (4.00),
University of California Los Angeles,Taft College,MATH 33A,Not Articulated,
University of California Los Angeles,Taft College,MATH 33B,MATH 2140 (4.00),
University of California Los Angeles,Taft College,MATH 61,Not Articulated,
University of California Los Angeles,Taft College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 2221 (4.00); PHYS 2222 (4.00),
University of California Los Angeles,Taft College,PHYSICS 4AL,Not Articulated,
University of California Los Angeles,Taft College,PHYSICS 4BL,Not Articulated,
University of California Los Angeles,Taft College,ENGCOMP 3,ENGL 1500 (3.00),
University of California Los Angeles,Taft College,,ENGL 1600 (4.00),
University of California Los Angeles,Taft College,,Not Articulated,
University of California Merced,Taft College,CSE 022,ENGR 1540 (4.00),
