UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3
University of California Berkeley,Ventura College,MATH 1A,MATH V21A (5.00),,
University of California Berkeley,Ventura College,MATH 1B,MATH V21B (5.00),,
University of California Berkeley,Ventura College,MATH 53,MATH V21C (5.00),,
University of California Berkeley,Ventura College,MATH 54,MATH V21C (5.00); MATH V22 (3.00); MATH V23 (3.00),,
University of California Berkeley,Ventura College,PHYSICS 7A,PHYS V04 (4.00); PHYS V04L (1.00),,
University of California Berkeley,Ventura College,PHYSICS 7B,PHYS V05 (4.00); PHYS V05L (1.00),,
University of California Berkeley,Ventura College,ENGLISH R1A,ENGL V01A (4.00),,
University of California Berkeley,Ventura College,ENGLISH R1B,ENGL V01B (4.00),,
University of California Berkeley,Ventura College,ASTRON 7A,Not Articulated,,
University of California Berkeley,Ventura College,ASTRON 7B,Not Articulated,,
University of California Berkeley,Ventura College,BIOLOGY 1A; BIOLOGY 1AL,BIOL V04 (4.00),,
University of California Berkeley,Ventura College,BIOLOGY 1B,BIOL V03 (4.00),,
University of California Berkeley,Ventura College,CHEM 1A; CHEM 1AL,CHEM V01A (3.00); CHEM V01AL (2.00),,
University of California Berkeley,Ventura College,CHEM 1B,CHEM V01B (3.00); CHEM V01BL (2.00),,
University of California Berkeley,Ventura College,CHEM 3A; CHEM 3AL,CHEM V12A (3.00); CHEM V12AL (2.00),,
University of California Berkeley,Ventura College,CHEM 3B; CHEM 3BL,CHEM V12B (3.00); CHEM V12BL (2.00),,
University of California Berkeley,Ventura College,MCELLBI 32; MCELLBI 32L,PHSO V01 (4.00),,
University of California Berkeley,Ventura College,PHYSICS 7C,PHYS V06 (4.00); PHYS V06L (1.00),,
University of California Berkeley,Ventura College,COMPSCI 61A,Not Articulated,,
University of California Berkeley,Ventura College,COMPSCI 61B,Not Articulated,,
University of California Berkeley,Ventura College,COMPSCI 61C,Not Articulated,,
University of California Berkeley,Ventura College,COMPSCI 70,Not Articulated,,
University of California Berkeley,Ventura College,EECS 16A,Not Articulated,,
University of California Berkeley,Ventura College,EECS 16B,Not Articulated,,
University of California Davis,Ventura College,ECS 020,CS V17 (3.00),MATH V52 (3.00),
University of California Davis,Ventura College,ECS 036A,CS V13 (3.00),,
University of California Davis,Ventura College,ECS 036B,Not Articulated,,
University of California Davis,Ventura College,ECS 036C,CS V15 (3.00),,
University of California Davis,Ventura College,ECS 050,CS V19 (3.00),,
University of California Davis,Ventura College,MAT 021A,MATH V21A (5.00),,
University of California Davis,Ventura College,MAT 021B,MATH V21A (5.00); MATH V21B (5.00),,
University of California Davis,Ventura College,MAT 021C,MATH V21B (5.00); MATH V21C (5.00),,
University of California Davis,Ventura College,MAT 022A,MATH V22 (3.00),,
University of California Davis,Ventura College,MAT 027A,Not Articulated,,
University of California Davis,Ventura College,MAT 067,Not Articulated,,
University of California Davis,Ventura College,BIS 002A,BIOL V04 (4.00),,
University of California Davis,Ventura College,BIS 002B,BIOL V03 (4.00); BIOL V04 (4.00),,
University of California Davis,Ventura College,BIS 002C,Not Articulated,,
University of California Davis,Ventura College,CHE 002A; CHE 002B; CHE 002C,CHEM V01A (3.00); CHEM V01AL (2.00); CHEM V01B (3.00); CHEM V01BL (2.00),,
University of California Davis,Ventura College,CHE 004A,Not Articulated,,
University of California Davis,Ventura College,CHE 004B,Not Articulated,,
University of California Davis,Ventura College,CHE 004C,Not Articulated,,
University of California Davis,Ventura College,PHY 009A,PHYS V04 (4.00); PHYS V04L (1.00),,
University of California Davis,Ventura College,PHY 009B,PHYS V06 (4.00); PHYS V06L (1.00),,
University of California Davis,Ventura College,PHY 009C,PHYS V05 (4.00); PHYS V05L (1.00),,
University of California Irvine,Ventura College,I&C SCI 31; I&C SCI 32; I&C SCI 33,CS V40 (3.00); CS V42 (3.00),,
University of California Irvine,Ventura College,I&C SCI 31; I&C SCI 32,CS V11 (3.00); CS V13 (3.00),,
