UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Victor Valley College,MATH 1A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Berkeley,Victor Valley College,MATH 1B,Not Articulated,,,
University of California Berkeley,Victor Valley College,MATH 53,MATH 227 (4.00); MATH 228 (5.00),,,
University of California Berkeley,Victor Valley College,MATH 54,MATH 231 (3.00); MATH 270 (3.00),,,
University of California Berkeley,Victor Valley College,PHYSICS 7A,PHYS 201 (4.00); PHYS 202 (4.00),,,
University of California Berkeley,Victor Valley College,PHYSICS 7B,PHYS 202 (4.00); PHYS 203 (4.00),,,
University of California Berkeley,Victor Valley College,ENGLISH R1A,ENGL 101 (4.00),,,
University of California Berkeley,Victor Valley College,ENGLISH R1B,ENGL 102 (3.00),ENGL 104 (3.00),,
University of California Berkeley,Victor Valley College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Victor Valley College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Victor Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 201 (5.00); BIOL 202 (5.00),,,
University of California Berkeley,Victor Valley College,BIOLOGY 1B,Not Articulated,,,
University of California Berkeley,Victor Valley College,CHEM 1A; CHEM 1AL; CHEM 1B,CHEM 201 (5.00); CHEM 202 (5.00),,,
University of California Berkeley,Victor Valley College,CHEM 3A; CHEM 3AL; CHEM 3B; CHEM 3BL,CHEM 281 (5.00); CHEM 282 (5.00),,,
University of California Berkeley,Victor Valley College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,
University of California Berkeley,Victor Valley College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,Victor Valley College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Victor Valley College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Victor Valley College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Victor Valley College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Victor Valley College,EECS 16A,Not Articulated,,,
University of California Berkeley,Victor Valley College,EECS 16B,Not Articulated,,,
University of California Davis,Victor Valley College,ECS 020,Not Articulated,,,
University of California Davis,Victor Valley College,ECS 036A,Not Articulated,,,
University of California Davis,Victor Valley College,ECS 036B,CIS 202 (4.00),,,
University of California Davis,Victor Valley College,ECS 036C,Not Articulated,,,
University of California Davis,Victor Valley College,ECS 050,CIS 208 (3.00),,,
University of California Davis,Victor Valley College,MAT 021A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Davis,Victor Valley College,MAT 021B,MATH 227 (4.00),MATH 227H (4.00),,
University of California Davis,Victor Valley College,MAT 021C; MAT 021D,MATH 228 (5.00),MATH 228H (5.00),,
University of California Davis,Victor Valley College,MAT 022A,MATH 231 (3.00),,,
University of California Davis,Victor Valley College,MAT 027A,Not Articulated,,,
University of California Davis,Victor Valley College,MAT 067,Not Articulated,,,
University of California Davis,Victor Valley College,BIS 002A; BIS 002B; BIS 002C,BIOL 201 (5.00); BIOL 202 (5.00); BIOL 203 (4.00),,,
University of California Davis,Victor Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 201 (5.00); CHEM 202 (5.00),,,
University of California Davis,Victor Valley College,CHE 004A,Not Articulated,,,
University of California Davis,Victor Valley College,CHE 004B,Not Articulated,,,
University of California Davis,Victor Valley College,CHE 004C,Not Articulated,,,
University of California Davis,Victor Valley College,PHY 009A,PHYS 201 (4.00),,,
University of California Davis,Victor Valley College,PHY 009B,Not Articulated,,,
University of California Davis,Victor Valley College,PHY 009C,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
University of California Irvine,Victor Valley College,MATH 2A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Irvine,Victor Valley College,MATH 2B,MATH 227 (4.00),MATH 227H (4.00),,
University of California Irvine,Victor Valley College,MATH 3A,MATH 231 (3.00),,,
University of California Irvine,Victor Valley College,I&C SCI 6N,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 6B,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 6D,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 45C,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 46,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 51,Not Articulated,,,
University of California Irvine,Victor Valley College,I&C SCI 53,Not Articulated,,,
University of California Irvine,Victor Valley College,IN4MATX 43,Not Articulated,,,
University of California Irvine,Victor Valley College,STATS 67,Not Articulated,,,
University of California Los Angeles,Victor Valley College,COM SCI 31,Not Articulated,,,
University of California Los Angeles,Victor Valley College,COM SCI 32,Not Articulated,,,
University of California Los Angeles,Victor Valley College,COM SCI 33,CIS 208 (3.00),,,
University of California Los Angeles,Victor Valley College,COM SCI 35L,Not Articulated,,,
University of California Los Angeles,Victor Valley College,COM SCI M51A,Not Articulated,,,
University of California Los Angeles,Victor Valley College,EC ENGR M16,Not Articulated,,,
University of California Los Angeles,Victor Valley College,MATH 31A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Los Angeles,Victor Valley College,MATH 31B,MATH 227 (4.00),MATH 227H (4.00),,
University of California Los Angeles,Victor Valley College,MATH 32A,MATH 228 (5.00),MATH 228H (5.00),,
University of California Los Angeles,Victor Valley College,MATH 32B,MATH 228 (5.00),MATH 228H (5.00),,
University of California Los Angeles,Victor Valley College,MATH 33A,MATH 231 (3.00),,,
University of California Los Angeles,Victor Valley College,MATH 33B,MATH 270 (3.00),,,
University of California Los Angeles,Victor Valley College,MATH 61,Not Articulated,,,
University of California Los Angeles,Victor Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 201 (4.00); PHYS 202 (4.00); PHYS 203 (4.00); PHYS 204 (4.00),,,
University of California Los Angeles,Victor Valley College,PHYSICS 4AL,Not Articulated,,,
University of California Los Angeles,Victor Valley College,PHYSICS 4BL,Not Articulated,,,
University of California Los Angeles,Victor Valley College,ENGCOMP 3,ENGL 101 (4.00),ENGL 101H (4.00),,
University of California Los Angeles,Victor Valley College,,ENGL 102 (3.00),ENGL 104 (3.00),ENGL 104H (3.00),PHIL 207 (3.00)
University of California Los Angeles,Victor Valley College,,CIS 201 (4.00),CIS 202 (4.00),,
University of California Merced,Victor Valley College,CSE 022,Not Articulated,,,
University of California Merced,Victor Valley College,CSE 030,Not Articulated,,,
University of California Merced,Victor Valley College,MATH 021,MATH 226 (4.00),MATH 226H (4.00),,
University of California Merced,Victor Valley College,MATH 022,MATH 227 (4.00),MATH 227H (4.00),,
University of California Merced,Victor Valley College,MATH 023,MATH 228 (5.00),MATH 228H (5.00),,
University of California Merced,Victor Valley College,MATH 024,MATH 231 (3.00); MATH 270 (3.00),,,
University of California Merced,Victor Valley College,PHYS 008; PHYS 008L,PHYS 201 (4.00); PHYS 202 (4.00),,,
University of California Merced,Victor Valley College,PHYS 009; PHYS 009L,PHYS 202 (4.00); PHYS 203 (4.00),,,
University of California Merced,Victor Valley College,CSE 015,Not Articulated,,,
University of California Merced,Victor Valley College,CSE 022,Not Articulated,,,
University of California Merced,Victor Valley College,CSE 024,Not Articulated,,,
University of California Merced,Victor Valley College,CSE 030,Not Articulated,,,
University of California Merced,Victor Valley College,CSE 031,CIS 208 (3.00),,,
University of California Merced,Victor Valley College,ENGR 065,Not Articulated,,,
University of California Merced,Victor Valley College,ENGR 091,Not Articulated,,,
University of California Merced,Victor Valley College,MATH 032,Not Articulated,,,
University of California Merced,Victor Valley College,ENGR 080,Not Articulated,,,
University of California Merced,Victor Valley College,WRI 001,ENGL 101 (4.00),ENGL 101H (4.00),,
University of California Merced,Victor Valley College,WRI 010,ENGL 102 (3.00),ENGL 104 (3.00),ENGL 104H (3.00),PHIL 207 (3.00)
University of California Riverside,Victor Valley College,CS 10A,CIS 201 (4.00),CIS 206 (4.00),,
University of California Riverside,Victor Valley College,CS 10B,CIS 202 (4.00),CIS 203 (4.00),,
University of California Riverside,Victor Valley College,MATH 9A; MATH 9B; MATH 9C,MATH 226 (4.00); MATH 227 (4.00),,,
University of California Riverside,Victor Valley College,PHYS 40A,PHYS 201 (4.00),,,
University of California Riverside,Victor Valley College,CS 11,CIS 264 (3.00),,,
University of California Riverside,Victor Valley College,CS 10C,Not Articulated,,,
University of California Riverside,Victor Valley College,CS 61,CIS 208 (3.00),,,
University of California Riverside,Victor Valley College,MATH 10A,MATH 228 (5.00),,,
University of California Riverside,Victor Valley College,PHYS 40B,PHYS 202 (4.00),,,
University of California Riverside,Victor Valley College,PHYS 40C,PHYS 203 (4.00),,,
University of California Riverside,Victor Valley College,EE 20B,Not Articulated,,,
University of California Riverside,Victor Valley College,MATH 31,MATH 231 (3.00),,,
University of California San Diego,Victor Valley College,CSE 8A,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 8B,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 11,CIS 206 (4.00),,,
University of California San Diego,Victor Valley College,CSE 12,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 15L,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 20,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 21,Not Articulated,,,
University of California San Diego,Victor Valley College,CSE 30,Not Articulated,,,
University of California San Diego,Victor Valley College,MATH 18,MATH 231 (3.00),,,
University of California San Diego,Victor Valley College,MATH 20A,MATH 226 (4.00),,,
University of California San Diego,Victor Valley College,MATH 20B,MATH 227 (4.00),,,
University of California San Diego,Victor Valley College,MATH 20C,MATH 228 (5.00),,,
University of California San Diego,Victor Valley College,BILD 1,BIOL 201 (5.00); BIOL 202 (5.00); BIOL 203 (4.00),,,
University of California San Diego,Victor Valley College,BILD 2,BIOL 201 (5.00); BIOL 202 (5.00); BIOL 203 (4.00),,,
University of California San Diego,Victor Valley College,BILD 3,BIOL 201 (5.00); BIOL 202 (5.00); BIOL 203 (4.00),,,
University of California San Diego,Victor Valley College,CHEM 6A,CHEM 201 (5.00); CHEM 202 (5.00),,,
University of California San Diego,Victor Valley College,CHEM 6B,CHEM 201 (5.00); CHEM 202 (5.00),,,
University of California San Diego,Victor Valley College,PHYS 2A,PHYS 201 (4.00),,,
University of California San Diego,Victor Valley College,PHYS 2B,PHYS 203 (4.00),,,
University of California San Diego,Victor Valley College,PHYS 4A,Not Articulated,,,
University of California San Diego,Victor Valley College,PHYS 4B,Not Articulated,,,
University of California Santa Barbara,Victor Valley College,MATH 3A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Santa Barbara,Victor Valley College,MATH 3B,MATH 227 (4.00),MATH 227H (4.00),,
University of California Santa Barbara,Victor Valley College,MATH 4A,MATH 231 (3.00),,,
University of California Santa Barbara,Victor Valley College,MATH 4B,MATH 270 (3.00),,,
University of California Santa Barbara,Victor Valley College,CMPSC 16,CIS 201 (4.00); CIS 202 (4.00),,,
University of California Santa Barbara,Victor Valley College,CMPSC 24,CIS 202 (4.00),,,
University of California Santa Barbara,Victor Valley College,CMPSC 40,CIS 264 (3.00),,,
University of California Santa Barbara,Victor Valley College,CMPSC 32,Not Articulated,,,
University of California Santa Barbara,Victor Valley College,CMPSC 64,CIS 208 (3.00),,,
University of California Santa Barbara,Victor Valley College,MATH 6A,MATH 228 (5.00),MATH 228H (5.00),,
University of California Santa Barbara,Victor Valley College,PHYS 1,PHYS 201 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 2,PHYS 202 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 3; PHYS 3L,PHYS 202 (4.00); PHYS 203 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 221 (4.00); PHYS 222 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 7A,PHYS 201 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 7B,PHYS 202 (4.00); PHYS 203 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 7C,PHYS 202 (4.00); PHYS 204 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 7D,PHYS 202 (4.00); PHYS 204 (4.00),,,
University of California Santa Barbara,Victor Valley College,PHYS 7L,PHYS 201 (4.00); PHYS 203 (4.00),,,
University of California Santa Barbara,Victor Valley College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 201 (5.00); CHEM 202 (5.00),,,
University of California Santa Barbara,Victor Valley College,MCDB 1A; MCDB 1LL,Not Articulated,,,
University of California Santa Barbara,Victor Valley College,MCDB 1B,Not Articulated,,,
University of California Santa Barbara,Victor Valley College,PSTAT 120A,Not Articulated,,,
University of California Santa Cruz,Victor Valley College,CSE 12,CIS 208 (3.00),,,
University of California Santa Cruz,Victor Valley College,CSE 16,Not Articulated,,,
University of California Santa Cruz,Victor Valley College,CSE 30,Not Articulated,,,
University of California Santa Cruz,Victor Valley College,MATH 19A,MATH 226 (4.00),MATH 226H (4.00),,
University of California Santa Cruz,Victor Valley College,MATH 19B,MATH 227 (4.00),MATH 227H (4.00),,
University of California Santa Cruz,Victor Valley College,AM 10,MATH 231 (3.00),,,
University of California Santa Cruz,Victor Valley College,MATH 21,MATH 231 (3.00),,,
University of California Santa Cruz,Victor Valley College,AM 30,MATH 228 (5.00),MATH 228H (5.00),,
University of California Santa Cruz,Victor Valley College,MATH 23A,MATH 228 (5.00),MATH 228H (5.00),,
