UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,West Hills College Coalinga,MATH 1A,MATH 001A (5.00),
University of California Berkeley,West Hills College Coalinga,MATH 1B,MATH 001B (5.00),
University of California Berkeley,West Hills College Coalinga,MATH 53,MATH 002A (4.00),
University of California Berkeley,West Hills College Coalinga,MATH 54,Not Articulated,
University of California Berkeley,West Hills College Coalinga,PHYSICS 7A,PHYSICS 004A (4.00),
University of California Berkeley,West Hills College Coalinga,ENGLISH R1A,ENG 001A (3.00),
University of California Berkeley,West Hills College Coalinga,ENGLISH R1B,ENG 003 (3.00),
University of California Berkeley,West Hills College Coalinga,PHYSICS 7B,Not Articulated,
University of California Berkeley,West Hills College Coalinga,,PHYSICS 004B (4.00); PHYSICS 004C (4.00),
University of California Berkeley,West Hills College Coalinga,ASTRON 7A,Not Articulated,
University of California Berkeley,West Hills College Coalinga,ASTRON 7B,Not Articulated,
University of California Berkeley,West Hills College Coalinga,BIOLOGY 1A; BIOLOGY 1AL,Not Articulated,
University of California Berkeley,West Hills College Coalinga,BIOLOGY 1B,Not Articulated,
University of California Berkeley,West Hills College Coalinga,CHEM 1A; CHEM 1AL,CHEM 001A (5.00),
University of California Berkeley,West Hills College Coalinga,CHEM 1B,CHEM 001B (5.00),
University of California Berkeley,West Hills College Coalinga,CHEM 3A; CHEM 3AL,Not Articulated,
University of California Berkeley,West Hills College Coalinga,CHEM 3B; CHEM 3BL,Not Articulated,
University of California Berkeley,West Hills College Coalinga,MCELLBI 32; MCELLBI 32L,BIO 035 (4.00),
University of California Berkeley,West Hills College Coalinga,PHYSICS 7C,Not Articulated,
University of California Berkeley,West Hills College Coalinga,,PHYSICS 004B (4.00); PHYSICS 004C (4.00),
University of California Berkeley,West Hills College Coalinga,COMPSCI 61A,Not Articulated,
University of California Berkeley,West Hills College Coalinga,COMPSCI 61B,Not Articulated,
University of California Berkeley,West Hills College Coalinga,COMPSCI 61C,Not Articulated,
University of California Berkeley,West Hills College Coalinga,COMPSCI 70,Not Articulated,
University of California Berkeley,West Hills College Coalinga,EECS 16A,Not Articulated,
University of California Berkeley,West Hills College Coalinga,EECS 16B,Not Articulated,
University of California Davis,West Hills College Coalinga,ECS 020,Not Articulated,
University of California Davis,West Hills College Coalinga,ECS 036A,Not Articulated,
University of California Davis,West Hills College Coalinga,ECS 036B,Not Articulated,
University of California Davis,West Hills College Coalinga,ECS 036C,Not Articulated,
University of California Davis,West Hills College Coalinga,ECS 050,Not Articulated,
University of California Davis,West Hills College Coalinga,MAT 021A,MATH 001A (5.00),
University of California Davis,West Hills College Coalinga,MAT 021B,MATH 001B (5.00),
University of California Davis,West Hills College Coalinga,MAT 021C,MATH 002A (4.00),
University of California Davis,West Hills College Coalinga,MAT 022A,Not Articulated,
University of California Davis,West Hills College Coalinga,MAT 027A,Not Articulated,
University of California Davis,West Hills College Coalinga,MAT 067,Not Articulated,
University of California Davis,West Hills College Coalinga,BIS 002A,BIO 001A (4.00),
University of California Davis,West Hills College Coalinga,BIS 002B,Not Articulated,
University of California Davis,West Hills College Coalinga,BIS 002C,Not Articulated,
University of California Davis,West Hills College Coalinga,CHE 002A; CHE 002B; CHE 002C,CHEM 001A (5.00); CHEM 001B (5.00),
University of California Davis,West Hills College Coalinga,CHE 004A,Not Articulated,
University of California Davis,West Hills College Coalinga,CHE 004B,Not Articulated,
University of California Davis,West Hills College Coalinga,CHE 004C,Not Articulated,
University of California Davis,West Hills College Coalinga,PHY 009A,Not Articulated,
University of California Davis,West Hills College Coalinga,PHY 009B,Not Articulated,
University of California Davis,West Hills College Coalinga,PHY 009C,Not Articulated,
