UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,West Valley College,MATH 1A,MATH 003A (5.00),MATH 003AH (5.00),,,
University of California Berkeley,West Valley College,MATH 1B,MATH 003B (5.00),MATH 003BH (5.00),,,
University of California Berkeley,West Valley College,MATH 53,MATH 004A (5.00),,,,
University of California Berkeley,West Valley College,MATH 54,MATH 004B (4.00); MATH 004C (4.00),,,,
University of California Berkeley,West Valley College,PHYSICS 7A,PHYS 004A (5.00),,,,
University of California Berkeley,West Valley College,PHYSICS 7B,PHYS 004B (5.00); PHYS 004C (5.00),,,,
University of California Berkeley,West Valley College,ENGLISH R1A,ENGL 001A (3.00),,,,
University of California Berkeley,West Valley College,ENGLISH R1B,ENGL 001B (3.00),ENGL 001C (3.00),ENGL 001CH (3.00),,
University of California Berkeley,West Valley College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,West Valley College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,West Valley College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 041 (5.00); BIOL 043 (5.00),,,,
University of California Berkeley,West Valley College,BIOLOGY 1B,BIOL 041 (5.00); BIOL 042 (5.00),,,,
University of California Berkeley,West Valley College,CHEM 1A; CHEM 1AL,CHEM 001A (5.00),,,,
University of California Berkeley,West Valley College,CHEM 1B,CHEM 001B (5.00),,,,
University of California Berkeley,West Valley College,CHEM 3A; CHEM 3AL,CHEM 012A (5.00),,,,
University of California Berkeley,West Valley College,CHEM 3B; CHEM 3BL,CHEM 012B (5.00),,,,
University of California Berkeley,West Valley College,MCELLBI 32; MCELLBI 32L,BIOL 048 (5.00),,,,
University of California Berkeley,West Valley College,PHYSICS 7C,PHYS 004C (5.00); PHYS 005 (3.00),,,,
University of California Berkeley,West Valley College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,West Valley College,COMPSCI 61B,CIST 004B (4.00),,,,
University of California Berkeley,West Valley College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,West Valley College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,West Valley College,EECS 16A,Not Articulated,,,,
University of California Berkeley,West Valley College,EECS 16B,Not Articulated,,,,
University of California Davis,West Valley College,ECS 020,MATH 019 (4.00),,,,
University of California Davis,West Valley College,ECS 036A,CIST 004A (4.00),CIST 004A1 (4.00),CIST 037 (4.00),,
University of California Davis,West Valley College,ECS 036B,Not Articulated,,,,
University of California Davis,West Valley College,ECS 036C,CIST 004B (4.00),CIST 004B1 (4.00),,,
University of California Davis,West Valley College,ECS 050,Not Articulated,,,,
University of California Davis,West Valley College,MAT 021A,MATH 003A (5.00),MATH 003AH (5.00),,,
University of California Davis,West Valley College,MAT 021B,MATH 003B (5.00),MATH 003BH (5.00),,,
University of California Davis,West Valley College,MAT 021C,Not Articulated,,,,
University of California Davis,West Valley College,MAT 022A,MATH 004C (4.00),,,,
University of California Davis,West Valley College,MAT 027A,Not Articulated,,,,
University of California Davis,West Valley College,MAT 067,Not Articulated,,,,
University of California Davis,West Valley College,BIS 002A,BIOL 043 (5.00),,,,
University of California Davis,West Valley College,BIS 002B; BIS 002C,BIOL 041 (5.00); BIOL 042 (5.00),,,,
University of California Davis,West Valley College,CHE 002A; CHE 002B; CHE 002C,CHEM 001A (5.00); CHEM 001B (5.00),CHEM 001A (5.00); CHEM 001BH (5.00),CHEM 001AH (5.00); CHEM 001B (5.00),CHEM 001AH (5.00); CHEM 001BH (5.00),
University of California Davis,West Valley College,CHE 004A,Not Articulated,,,,
University of California Davis,West Valley College,CHE 004B,Not Articulated,,,,
University of California Davis,West Valley College,CHE 004C,Not Articulated,,,,
University of California Davis,West Valley College,PHY 009A,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),,,,
University of California Davis,West Valley College,PHY 009B,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),,,,
University of California Davis,West Valley College,PHY 009C,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),,,,
