UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Woodland Community College,MATH 1A,MATH 1A (4.00),
University of California Berkeley,Woodland Community College,MATH 1B,MATH 1B (4.00),
University of California Berkeley,Woodland Community College,MATH 53,MATH 1C (4.00),
University of California Berkeley,Woodland Community College,MATH 54,MATH 2 (3.00); MATH 3 (3.00),
University of California Berkeley,Woodland Community College,PHYSICS 7A,PHYS 4A (4.00),
University of California Berkeley,Woodland Community College,PHYSICS 7B,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Berkeley,Woodland Community College,ENGLISH R1A,ENGL 1A (4.00),
University of California Berkeley,Woodland Community College,ENGLISH R1B,ENGL 1B (4.00),
University of California Berkeley,Woodland Community College,ASTRON 7A,Not Articulated,
University of California Berkeley,Woodland Community College,ASTRON 7B,Not Articulated,
University of California Berkeley,Woodland Community College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1 (5.00); BIOL 2 (4.00),
University of California Berkeley,Woodland Community College,BIOLOGY 1B,BIOL 1 (5.00); BIOL 3 (4.00),
University of California Berkeley,Woodland Community College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOL 1 (5.00); BIOL 7 (5.00),
University of California Berkeley,Woodland Community College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),
University of California Berkeley,Woodland Community College,CHEM 1B,CHEM 1B (5.00),
University of California Berkeley,Woodland Community College,CHEM 3A; CHEM 3AL,CHEM 18A (5.00),
University of California Berkeley,Woodland Community College,CHEM 3B; CHEM 3BL,CHEM 18B (5.00),
University of California Berkeley,Woodland Community College,MCELLBI 32; MCELLBI 32L,BIOL 5 (4.00),
University of California Berkeley,Woodland Community College,PHYSICS 7C,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Berkeley,Woodland Community College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Woodland Community College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Woodland Community College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Woodland Community College,COMPSCI 70,Not Articulated,
University of California Berkeley,Woodland Community College,EECS 16A,Not Articulated,
University of California Berkeley,Woodland Community College,EECS 16B,Not Articulated,
University of California Davis,Woodland Community College,ECS 020,Not Articulated,
University of California Davis,Woodland Community College,ECS 036A,Not Articulated,
University of California Davis,Woodland Community College,ECS 036B,Not Articulated,
University of California Davis,Woodland Community College,ECS 036C,Not Articulated,
University of California Davis,Woodland Community College,ECS 050,Not Articulated,
University of California Davis,Woodland Community College,MAT 021A,MATH 1A (4.00),
University of California Davis,Woodland Community College,MAT 021B,MATH 1B (4.00),
University of California Davis,Woodland Community College,MAT 021C; MAT 021D,MATH 1C (4.00),
University of California Davis,Woodland Community College,MAT 022A,MATH 3 (3.00),
University of California Davis,Woodland Community College,MAT 027A,Not Articulated,
University of California Davis,Woodland Community College,MAT 067,Not Articulated,
University of California Davis,Woodland Community College,BIS 002A,BIOL 1 (5.00),
University of California Davis,Woodland Community College,BIS 002B; BIS 002C,BIOL 7 (5.00),
University of California Davis,Woodland Community College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),
University of California Davis,Woodland Community College,CHE 004A,Not Articulated,
University of California Davis,Woodland Community College,CHE 004B,Not Articulated,
University of California Davis,Woodland Community College,CHE 004C,Not Articulated,
University of California Davis,Woodland Community College,PHY 009A,PHYS 4A (4.00),
University of California Davis,Woodland Community College,PHY 009B,PHYS 4C (4.00),
University of California Davis,Woodland Community College,PHY 009C,PHYS 4B (4.00),
University of California Irvine,Woodland Community College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Woodland Community College,MATH 2A,MATH 1A (4.00),
University of California Irvine,Woodland Community College,MATH 2B,MATH 1B (4.00),
University of California Irvine,Woodland Community College,MATH 3A,MATH 3 (3.00),
University of California Irvine,Woodland Community College,I&C SCI 6N,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 6B,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 6D,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 45C,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 46,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 51,Not Articulated,
University of California Irvine,Woodland Community College,I&C SCI 53,Not Articulated,
University of California Irvine,Woodland Community College,IN4MATX 43,Not Articulated,
University of California Irvine,Woodland Community College,STATS 67,Not Articulated,
University of California Los Angeles,Woodland Community College,COM SCI 31,Not Articulated,
University of California Los Angeles,Woodland Community College,COM SCI 32,Not Articulated,
University of California Los Angeles,Woodland Community College,COM SCI 33,Not Articulated,
University of California Los Angeles,Woodland Community College,COM SCI 35L,Not Articulated,
University of California Los Angeles,Woodland Community College,COM SCI M51A,Not Articulated,
University of California Los Angeles,Woodland Community College,EC ENGR M16,Not Articulated,
University of California Los Angeles,Woodland Community College,MATH 31A,MATH 1A (4.00),
University of California Los Angeles,Woodland Community College,MATH 31B,MATH 1B (4.00),
University of California Los Angeles,Woodland Community College,MATH 32A,MATH 1C (4.00),
University of California Los Angeles,Woodland Community College,MATH 32B,MATH 1C (4.00),
University of California Los Angeles,Woodland Community College,MATH 33A,MATH 3 (3.00),
University of California Los Angeles,Woodland Community College,MATH 33B,MATH 2 (3.00),
University of California Los Angeles,Woodland Community College,MATH 61,Not Articulated,
University of California Los Angeles,Woodland Community College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Los Angeles,Woodland Community College,PHYSICS 4AL,Not Articulated,
