UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2
University of California Berkeley,Yuba College,MATH 1A,MATH 1A (4.00),
University of California Berkeley,Yuba College,MATH 1B,MATH 1B (4.00),
University of California Berkeley,Yuba College,MATH 53,MATH 1C (4.00),
University of California Berkeley,Yuba College,MATH 54,MATH 2 (3.00); MATH 3 (3.00),
University of California Berkeley,Yuba College,PHYSICS 7A,PHYS 4A (4.00),
University of California Berkeley,Yuba College,PHYSICS 7B,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Berkeley,Yuba College,ENGLISH R1A,ENGL 1A (4.00),
University of California Berkeley,Yuba College,ENGLISH R1B,ENGL 1B (4.00),
University of California Berkeley,Yuba College,ASTRON 7A,Not Articulated,
University of California Berkeley,Yuba College,ASTRON 7B,Not Articulated,
University of California Berkeley,Yuba College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 1 (5.00); BIOL 2 (4.00),
University of California Berkeley,Yuba College,BIOLOGY 1B,BIOL 1 (5.00); BIOL 3 (4.00),
University of California Berkeley,Yuba College,CHEM 1A; CHEM 1AL,CHEM 1A (5.00),
University of California Berkeley,Yuba College,CHEM 1B,CHEM 1B (5.00),
University of California Berkeley,Yuba College,CHEM 3A; CHEM 3AL,CHEM 18A (5.00),
University of California Berkeley,Yuba College,CHEM 3B; CHEM 3BL,CHEM 18B (5.00),
University of California Berkeley,Yuba College,MCELLBI 32; MCELLBI 32L,BIOL 5 (4.00),
University of California Berkeley,Yuba College,PHYSICS 7C,PHYS 4B (4.00); PHYS 4C (4.00),
University of California Berkeley,Yuba College,COMPSCI 61A,Not Articulated,
University of California Berkeley,Yuba College,COMPSCI 61B,Not Articulated,
University of California Berkeley,Yuba College,COMPSCI 61C,Not Articulated,
University of California Berkeley,Yuba College,COMPSCI 70,Not Articulated,
University of California Berkeley,Yuba College,EECS 16A,Not Articulated,
University of California Berkeley,Yuba College,EECS 16B,Not Articulated,
University of California Davis,Yuba College,ECS 020,COMSC 15 (3.00),
University of California Davis,Yuba College,ECS 036A,COMSC 9A (4.00),COMSC 12 (3.00)
University of California Davis,Yuba College,ECS 036B,COMSC 11 (3.00),
University of California Davis,Yuba College,ECS 036C,Not Articulated,
University of California Davis,Yuba College,ECS 050,COMSC 2 (3.00),
University of California Davis,Yuba College,MAT 021A; MAT 021B; MAT 021C; MAT 021D,MATH 1A (4.00); MATH 1B (4.00); MATH 1C (4.00),
University of California Davis,Yuba College,MAT 022A,MATH 3 (3.00),
University of California Davis,Yuba College,MAT 027A,Not Articulated,
University of California Davis,Yuba College,MAT 067,Not Articulated,
University of California Davis,Yuba College,BIS 002A; BIS 002B; BIS 002C,BIOL 1 (5.00); BIOL 2 (4.00); BIOL 3 (4.00),
University of California Davis,Yuba College,CHE 002A; CHE 002B; CHE 002C,CHEM 1A (5.00); CHEM 1B (5.00),
University of California Davis,Yuba College,CHE 004A,Not Articulated,
University of California Davis,Yuba College,CHE 004B,Not Articulated,
University of California Davis,Yuba College,CHE 004C,Not Articulated,
University of California Davis,Yuba College,PHY 009A,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Davis,Yuba College,PHY 009B,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Davis,Yuba College,PHY 009C,PHYS 4A (4.00); PHYS 4B (4.00); PHYS 4C (4.00),
University of California Irvine,Yuba College,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,
University of California Irvine,Yuba College,MATH 2A,MATH 1A (4.00),
University of California Irvine,Yuba College,MATH 2B,MATH 1B (4.00),
University of California Irvine,Yuba College,MATH 3A,MATH 3 (3.00),
University of California Irvine,Yuba College,I&C SCI 6N,Not Articulated,
University of California Irvine,Yuba College,I&C SCI 6B,Not Articulated,
University of California Irvine,Yuba College,I&C SCI 6D,Not Articulated,
University of California Irvine,Yuba College,I&C SCI 45C,Not Articulated,
University of California Irvine,Yuba College,I&C SCI 46,Not Articulated,
